id,naca,AoA,Re,U_inf,rho,nu,p_inf,p_vap,source
case_001,0006,-4.0,100000.0,0.09999999999999999,997.0,1e-06,101325.0,2300.0,openfoam
case_002,0006,-4.0,200000.0,0.19999999999999998,997.0,1e-06,101325.0,2300.0,openfoam
case_003,0006,-4.0,500000.0,0.5,997.0,1e-06,101325.0,2300.0,openfoam
case_004,0006,-4.0,1000000.0,1.0,997.0,1e-06,101325.0,2300.0,openfoam
case_005,0006,-2.0,100000.0,0.09999999999999999,997.0,1e-06,101325.0,2300.0,openfoam
case_006,0006,-2.0,200000.0,0.19999999999999998,997.0,1e-06,101325.0,2300.0,openfoam
case_007,0006,-2.0,500000.0,0.5,997.0,1e-06,101325.0,2300.0,openfoam
case_008,0006,-2.0,1000000.0,1.0,997.0,1e-06,101325.0,2300.0,openfoam
case_009,0006,0.0,100000.0,0.09999999999999999,997.0,1e-06,101325.0,2300.0,openfoam
case_010,0006,0.0,200000.0,0.19999999999999998,997.0,1e-06,101325.0,2300.0,openfoam
case_011,0006,0.0,500000.0,0.5,997.0,1e-06,101325.0,2300.0,openfoam
case_012,0006,0.0,1000000.0,1.0,997.0,1e-06,101325.0,2300.0,openfoam
case_013,0006,2.0,100000.0,0.09999999999999999,997.0,1e-06,101325.0,2300.0,openfoam
case_014,0006,2.0,200000.0,0.19999999999999998,997.0,1e-06,101325.0,2300.0,openfoam
case_015,0006,2.0,500000.0,0.5,997.0,1e-06,101325.0,2300.0,openfoam
case_016,0006,2.0,1000000.0,1.0,997.0,1e-06,101325.0,2300.0,openfoam
case_017,0006,4.0,100000.0,0.09999999999999999,997.0,1e-06,101325.0,2300.0,openfoam
case_018,0006,4.0,200000.0,0.19999999999999998,997.0,1e-06,101325.0,2300.0,openfoam
case_019,0006,4.0,500000.0,0.5,997.0,1e-06,101325.0,2300.0,openfoam
case_020,0006,4.0,1000000.0,1.0,997.0,1e-06,101325.0,2300.0,openfoam
case_021,0006,6.0,100000.0,0.09999999999999999,997.0,1e-06,101325.0,2300.0,openfoam
case_022,0006,6.0,200000.0,0.19999999999999998,997.0,1e-06,101325.0,2300.0,openfoam
