AoA,Cd,Cl,L_over_D,cache_key,case_id,error,evaluation,m,min_cavitation_margin,objective,p,risky_cell_fraction,start,status,t,wall_seconds
4.0,0.02125727,0.3590274,16.888834321889785,78213162c270,start_0012_eval_001_78213162c270,,1,0.0,98877.956458,16.888834321889785,0.4,0.0,0012,ok,0.12,7.378599209005188
4.0,0.02220063,0.3578906,16.120014611539784,5277aafacc33,start_0012_eval_002_5277aafacc33,,2,0.00025,98879.676283,16.120014611539784,0.4,0.0,0012,ok,0.12,7.063256041001296
4.0,0.02125727,0.3590274,16.888834321889785,35c53414ca93,start_0012_eval_003_35c53414ca93,,3,0.0,98877.956458,16.888834321889785,0.42000000000000004,0.0,0012,ok,0.12,7.098449125005573
4.0,0.02259659,0.3458975,15.306831392197132,cab119c2b230,start_0012_eval_004_cab119c2b230,,4,0.0,98884.723097,15.306831392197132,0.4,0.0,0012,ok,0.126,7.10154454199801
4.2,0.02214011,0.3795439,17.142044820697787,828d9a950471,start_0012_eval_005_828d9a950471,,5,0.0,98870.603583,17.142044820697787,0.4,0.0,0012,ok,0.12,7.314268083995557
4.1,0.02142523,0.3731424,17.415214902481676,c1966090948c,start_0012_eval_006_c1966090948c,,6,0.000125,98874.751103,17.415214902481676,0.41000000000000003,0.0,0012,ok,0.11399999999999999,7.610688916000072
4.149999999999999,0.02270167,0.3831157,16.875358713314338,c5d46809af4c,start_0012_eval_007_c5d46809af4c,,7,0.0001875,98872.493895,16.875358713314338,0.41500000000000004,0.0,0012,ok,0.10799999999999998,7.074755333000212
4.15,0.02489789,0.3707999,14.892226119316966,b5df4c950070,start_0012_eval_008_b5df4c950070,,8,0.0,98876.047203,14.892226119316966,0.4149999999999999,0.0,0012,ok,0.11699999999999999,7.315092082993942
4.0375,0.02172674,0.3648704,16.79283717496619,9494d79d1919,start_0012_eval_009_9494d79d1919,,9,0.00014062500000000002,98878.48088,16.79283717496619,0.40375,0.0,0012,ok,0.11925,8.29277683300461
4.112500000000001,0.02228462,0.3702487,16.613794007077207,517b6b583518,start_0012_eval_010_517b6b583518,,10,0.0,98874.384207,16.613794007077207,0.41124999999999995,0.0,0012,ok,0.11775,9.33827575000032
4.05625,0.02177991,0.3662109,16.813388421328586,540cdc330190,start_0012_eval_011_540cdc330190,,11,8.593750000000001e-05,98877.565634,16.813388421328586,0.405625,0.0,0012,ok,0.118875,7.924931708002987
4.09375,0.02221931,0.3682436,16.572388053992047,68a3017f1294,start_0012_eval_012_68a3017f1294,,12,0.0,98875.225675,16.572388053992047,0.40937499999999993,0.0,0012,ok,0.118125,7.291696125001181
4.065625000000001,0.02206058,0.3802789,17.23715617829729,8682b03e81e0,start_0012_eval_013_8682b03e81e0,,13,5.8593750000000005e-05,98874.786995,17.23715617829729,0.4065625,0.0,0012,ok,0.1186875,7.094968416000484
4.182812500000001,0.02501402,0.3778094,15.103301936196733,a5f81f66cd2e,start_0012_eval_014_a5f81f66cd2e,,14,9.1796875e-05,98874.705241,15.103301936196733,0.38828125,0.0,0012,ok,0.11634375,7.2584950829987065
4.045703125,0.02173677,0.3642808,16.757965513481835,991962a2c951,start_0012_eval_015_991962a2c951,,15,2.294921875e-05,98878.057155,16.757965513481835,0.41207031250000004,0.0,0012,ok,0.11908593749999999,7.387301666996791
4.0828125,0.02452216,0.367744,14.9957835776466,95e3cc5a9cad,start_0012_eval_016_95e3cc5a9cad,,16,9.1796875e-05,98877.710199,14.9957835776466,0.40828125000000004,0.0,0012,ok,0.11634375,7.429775958000391
4.15,0.02489062,0.3716013,14.928771208945019,b4e646b16f9c,start_0012_eval_017_b4e646b16f9c,,17,6.25e-05,98875.983395,14.928771208945019,0.405,0.0,0012,ok,0.11699999999999999,9.267561458000273
4.05,0.02440927,0.3615472,14.811274107168826,e8eaa55b5541,start_0012_eval_018_e8eaa55b5541,,18,6.25e-05,98878.998323,14.811274107168826,0.405,0.0,0012,ok,0.11699999999999999,7.495502457997645
4.05,0.02440952,0.3615519,14.811314957649405,b9d8e863d9c7,start_0012_eval_019_b9d8e863d9c7,,19,6.25e-05,98878.997326,14.811314957649405,0.41500000000000004,0.0,0012,ok,0.11699999999999999,7.1067495419993065
4.14140625,0.02289452,0.388738,16.978780128164807,35f8c374521e,start_0012_eval_020_35f8c374521e,,20,0.00010839843750000001,98873.013332,16.978780128164807,0.41414062500000004,0.0,0012,ok,0.11517187499999998,7.472011792000558
4.1871093749999995,0.02297289,0.3866347,16.82930927239575,d8b89a719319,start_0012_eval_021_d8b89a719319,,21,0.00013134765625,98872.420117,16.82930927239575,0.4037109375,0.0,0012,ok,0.1142578125,7.192939332999231
4.105664062499999,0.02297814,0.3796392,16.521036035291136,017d9ceaeca6,start_0012_eval_022_017d9ceaeca6,,22,0.000165771484375,98876.692262,16.521036035291136,0.41306640625,0.0,0012,ok,0.11288671875,7.136835084005725
4.18427734375,0.02301414,0.3854538,16.74783642419729,2e1ed19c1f28,start_0012_eval_023_2e1ed19c1f28,,23,0.0001734619140625,98870.793013,16.74783642419729,0.41217773437500005,0.0,0012,ok,0.11181445312499999,7.11396537499968
