AoA,CD_integrated_pressure,CD_surrogate,CL_integrated_pressure,CL_over_abs_CD,CL_surrogate,Re,candidate_id,family,force_source,min_Cp,min_cavitation_margin,model,note,objective,risky_cell_fraction
-2.0,0.0020073042236458767,0.019770456477999687,-0.0746708332225154,-7.934570956582736,-0.1568780243396759,500000.0,naca_0008_aoa_-2,NACA 0008,direct OpenFOAM-coefficient surrogate,-0.6645201444625854,98925.6015625,unet,surrogate estimate; validate top designs with OpenFOAM,-7.934570956582736,0.0
0.0,-9.019686322035187e-06,0.014101758599281311,-0.01650695647734205,4.442434137464181,0.06265057623386383,500000.0,naca_0008_aoa_0,NACA 0008,direct OpenFOAM-coefficient surrogate,-0.3299105763435364,98974.6640625,unet,surrogate estimate; validate top designs with OpenFOAM,4.442434137464181,0.0
2.0,0.001177700065215111,0.015135983936488628,0.03008115183231842,16.75996815688206,0.25369536876678467,500000.0,naca_0008_aoa_2,NACA 0008,direct OpenFOAM-coefficient surrogate,-0.39791011810302734,98972.1875,unet,surrogate estimate; validate top designs with OpenFOAM,16.75996815688206,0.0
4.0,0.002566058812648804,0.021208757534623146,0.06982620962165283,19.103164185130357,0.40517348051071167,500000.0,naca_0008_aoa_4,NACA 0008,direct OpenFOAM-coefficient surrogate,-0.7336245179176331,98928.265625,unet,surrogate estimate; validate top designs with OpenFOAM,19.103164185130357,0.0
6.0,0.006100456438799496,0.03635881096124649,0.12595006251979485,15.922548909694283,0.5789408683776855,500000.0,naca_0008_aoa_6,NACA 0008,direct OpenFOAM-coefficient surrogate,-1.1386356353759766,98871.7109375,unet,surrogate estimate; validate top designs with OpenFOAM,15.922548909694283,0.0
8.0,0.01417785321660018,0.05556054413318634,0.18529026074929317,13.84062167261013,0.7690063118934631,500000.0,naca_0008_aoa_8,NACA 0008,direct OpenFOAM-coefficient surrogate,-1.4868659973144531,98823.609375,unet,surrogate estimate; validate top designs with OpenFOAM,13.84062167261013,0.0
-2.0,0.007905153904782651,0.020117878913879395,-0.12885956728622286,-6.144242202645782,-0.12361526489257812,500000.0,naca_0012_aoa_-2,NACA 0012,direct OpenFOAM-coefficient surrogate,-0.6932348012924194,98921.65625,unet,surrogate estimate; validate top designs with OpenFOAM,-6.144242202645782,0.0
0.0,0.005516698391530749,0.016003474593162537,-0.02273630545873442,5.04963348758866,0.08081673085689545,500000.0,naca_0012_aoa_0,NACA 0012,direct OpenFOAM-coefficient surrogate,-0.3924921452999115,98963.8515625,unet,surrogate estimate; validate top designs with OpenFOAM,5.04963348758866,0.0
2.0,0.007885674839036487,0.016990121454000473,0.05970385895374203,14.661945853627818,0.24912290275096893,500000.0,naca_0012_aoa_2,NACA 0012,direct OpenFOAM-coefficient surrogate,-0.5711458325386047,98951.5078125,unet,surrogate estimate; validate top designs with OpenFOAM,14.661945853627818,0.0
4.0,0.01165618515538416,0.02194724604487419,0.1401234103447903,17.665825137572728,0.3877338767051697,500000.0,naca_0012_aoa_4,NACA 0012,direct OpenFOAM-coefficient surrogate,-0.8729867339134216,98909.7734375,unet,surrogate estimate; validate top designs with OpenFOAM,17.665825137572728,0.0
