AoA,CD_pressure_proxy,CL_over_abs_CD,CL_pressure_proxy,Re,candidate_id,family,min_Cp,min_cavitation_margin,model,note,objective,risky_cell_fraction
-2.0,0.0010157944944001606,-15.72029254388088,-0.015984306908977973,500000.0,naca_0008_aoa_-2,NACA 0008,-0.2603778541088104,98990.8515625,fno,pressure-force proxy; validate top designs with OpenFOAM,-15.72029254388088,0.0
0.0,0.00045749930704129847,-34.927830507791,-0.016014386084278097,500000.0,naca_0008_aoa_0,NACA 0008,-0.26043185591697693,98990.84375,fno,pressure-force proxy; validate top designs with OpenFOAM,-34.927830507791,0.0
2.0,-0.00010144001856118265,-156.4238804101651,-0.01602406521262953,500000.0,naca_0008_aoa_2,NACA 0008,-0.26048582792282104,98990.828125,fno,pressure-force proxy; validate top designs with OpenFOAM,-156.4238804101651,0.0
4.0,-0.0006609307463972617,-24.20273461995076,-0.016020534191838853,500000.0,naca_0008_aoa_4,NACA 0008,-0.2605397403240204,98990.8203125,fno,pressure-force proxy; validate top designs with OpenFOAM,-24.20273461995076,0.0
6.0,-0.0012196909232932678,-13.099256233039997,-0.015990143185564687,500000.0,naca_0008_aoa_6,NACA 0008,-0.2605936825275421,98990.8046875,fno,pressure-force proxy; validate top designs with OpenFOAM,-13.099256233039997,0.0
8.0,-0.0017780769525736649,-8.962288014568424,-0.01594460004904587,500000.0,naca_0008_aoa_8,NACA 0008,-0.26064756512641907,98990.796875,fno,pressure-force proxy; validate top designs with OpenFOAM,-8.962288014568424,0.0
-2.0,0.004025940955903339,-6.681478002194298,-0.02690591741300344,500000.0,naca_0012_aoa_-2,NACA 0012,-0.39538517594337463,98973.9375,fno,pressure-force proxy; validate top designs with OpenFOAM,-6.681478002194298,0.0
0.0,0.003085434137878087,-8.759285724208532,-0.027034958482625396,500000.0,naca_0012_aoa_0,NACA 0012,-0.39544692635536194,98973.921875,fno,pressure-force proxy; validate top designs with OpenFOAM,-8.759285724208532,0.0
2.0,0.0021417384618415735,-12.664686642759612,-0.027137111176612255,500000.0,naca_0012_aoa_2,NACA 0012,-0.3955087959766388,98973.90625,fno,pressure-force proxy; validate top designs with OpenFOAM,-12.664686642759612,0.0
4.0,0.0011932495743198035,-22.782059437555894,-0.027207464785429587,500000.0,naca_0012_aoa_4,NACA 0012,-0.39557042717933655,98973.8984375,fno,pressure-force proxy; validate top designs with OpenFOAM,-22.782059437555894,0.0
6.0,0.00024524591023810294,-110.60276107066333,-0.027235477574692912,500000.0,naca_0012_aoa_6,NACA 0012,-0.3956321179866791,98973.8828125,fno,pressure-force proxy; validate top designs with OpenFOAM,-110.60276107066333,0.0
