model,grid_level,iterations,lc_foil,lc_far,cells,Cl,Cd,L_over_D,max_initial_residual_final_iteration,Cl_span_final_50_iterations,Cd_span_final_50_iterations,Cl_relative_error_vs_fine,Cd_relative_error_vs_fine,L_over_D_relative_error_vs_fine
deeponet,coarse,1000,0.025,1.5,3707,0.8445371,0.03033058,27.844409833244207,9.17422e-08,0.0,0.0,0.009489134649374564,0.36551160910287644,0.27462288951071
deeponet,medium,1000,0.015,1.0,7460,0.8348826,0.02698899,30.934192053870856,9.83019e-08,0.0,0.0,0.020812363847390405,0.21507004359829068,0.1941307076809683
deeponet,fine,1000,0.01,0.75,14231,0.8526278,0.02221188,38.38611589833909,9.21974e-06,1.0000000005838672e-07,0.0,0.0,0.0,0.0
fno,coarse,1000,0.025,1.5,3653,0.8936276,0.04772327,18.725196324560326,8.61784e-08,0.0,0.0,0.004952861114541036,0.6740501766717518,0.399687730320886
fno,medium,1000,0.015,1.0,7600,0.8877716,0.03374891,26.30519326401949,9.34945e-08,9.999999994736442e-08,1.0000000001675335e-08,0.0016326605890038465,0.18385367867665092,0.15668012238894022
fno,fine,1000,0.01,0.75,13795,0.8892234,0.02850767,31.192426459265175,1.00695e-07,2.500000000016378e-06,1.200000000027568e-07,0.0,0.0,0.0
pinn,coarse,1000,0.025,1.5,3715,1.023116,0.03250455,31.47608565570051,9.44193e-08,0.0,0.0,0.005717206722261229,0.46973604070553737,0.3234956715081711
pinn,medium,1000,0.015,1.0,7548,1.0209,0.02728191,37.42040055113443,9.14996e-08,0.0,0.0,0.007870755948256586,0.23358749425187572,0.1957366229191288
pinn,fine,1000,0.01,0.75,14187,1.028999,0.02211591,46.52754510214592,9.33299e-08,0.0,1.0000000001675335e-08,0.0,0.0,0.0
unet,coarse,1000,0.025,1.5,3637,0.7396015,0.04103674,18.022910689299394,1.13807e-07,0.0,1.0000000001675335e-08,0.038298676311053284,0.5422272748625923,0.37642049303360203
unet,medium,1000,0.015,1.0,7596,0.7832609,0.03343258,23.42807225766004,9.70007e-08,1.0000000005838672e-07,0.0,0.018471493532389725,0.2564506036548129,0.18940586237945223
unet,fine,1000,0.01,0.75,13870,0.7690553,0.02660875,28.902346032789964,9.85405e-08,2.9999999999752447e-06,1.1000000000108145e-07,0.0,0.0,0.0
