AoA,Cp_mae,Cp_pred_min,Cp_rmse,Cp_truth_min,Re,U_inf,case,cavitation_indicator_mae,cavitation_indicator_pred_min,cavitation_indicator_rmse,cavitation_indicator_truth_min,cavitation_margin_mae,cavitation_margin_pred_min,cavitation_margin_rmse,cavitation_margin_truth_min,model,naca,p_mae,p_pred_min,p_rmse,p_truth_min
-4.0,0.019670141860842705,-0.22942058742046356,0.028610631823539734,-0.20554691553115845,100000.0,0.09999999999999999,case_001,1.9111885407596674e-08,1.879590462154526e-15,4.834847686652211e-07,0.0,0.3568968176841736,99021.4375,0.4957125186920166,99023.9765625,dnn,0006,0.35692182183265686,101321.4375,0.4957408308982849,101323.9765625
-4.0,0.021115068346261978,-0.26147007942199707,0.030940376222133636,-0.20992682874202728,500000.0,0.5,case_003,3.9114488004088344e-07,7.575297819281665e-19,3.2916764212131966e-06,0.0,2.661410331726074,98995.546875,3.896049737930298,98998.8359375,dnn,0006,2.661421775817871,101295.546875,3.89603853225708,101298.8359375
2.0,0.02059028670191765,-0.2646178901195526,0.030434973537921906,-0.20992682874202728,500000.0,0.5,case_015,4.0255508793052286e-07,1.7896458388072788e-19,3.3217304462596076e-06,0.0,2.567272663116455,98993.28125,3.7772016525268555,98998.8359375,dnn,0006,2.567312240600586,101293.28125,3.7772183418273926,101298.8359375
-4.0,0.018401382490992546,-0.3240694999694824,0.02540876530110836,-0.29554709792137146,500000.0,0.5,case_035,4.18241370425676e-07,3.7474272523554416e-19,3.5809273413178744e-06,0.0,2.3028290271759033,98988.3671875,3.170825481414795,98988.1640625,dnn,0008,2.302849292755127,101288.3671875,3.1708340644836426,101288.1640625
0.0,0.017730457708239555,-0.34635236859321594,0.0243962612003088,-0.2933560013771057,200000.0,0.19999999999999998,case_042,3.067071219220452e-08,4.31219775061285e-17,1.1307451330822005e-07,0.0,0.49873557686805725,99016.34375,0.7406978607177734,99019.1484375,dnn,0008,0.4986930787563324,101316.34375,0.740652859210968,101319.1484375
4.0,0.01765608973801136,-0.33872857689857483,0.023963406682014465,-0.2962748110294342,1000000.0,1.0,case_052,1.4796007974382519e-08,7.010437479160523e-28,6.024072263244307e-08,0.0,8.647604942321777,98866.828125,11.77914047241211,98877.3046875,dnn,0008,8.647649765014648,101166.828125,11.779191970825195,101177.3046875
6.0,0.017876969650387764,-0.3390900194644928,0.02432866208255291,-0.2962748110294342,1000000.0,1.0,case_056,1.4161711803239996e-08,4.7389778878982315e-28,6.296925647575335e-08,0.0,8.759952545166016,98867.625,11.97079086303711,98877.3046875,dnn,0008,8.759993553161621,101167.625,11.97083568572998,101177.3046875
8.0,0.017540905624628067,-0.3456907272338867,0.024549825116991997,-0.2933560013771057,200000.0,0.19999999999999998,case_058,2.8925205342034133e-08,1.823379535977383e-17,1.1339560757051004e-07,0.0,0.4833955466747284,99015.5703125,0.7440522313117981,99019.1484375,dnn,0008,0.48335787653923035,101315.5703125,0.7440207600593567,101319.1484375
8.0,0.01788877695798874,-0.3147706091403961,0.02519741654396057,-0.29554709792137146,500000.0,0.5,case_059,3.778545760724228e-07,1.5694524276971942e-20,2.2003384856361663e-06,0.0,2.176872730255127,98983.7109375,3.0400781631469727,98988.1640625,dnn,0008,2.176910400390625,101283.7109375,3.04010009765625,101288.1640625
10.0,0.017540600150823593,-0.34458330273628235,0.024683021008968353,-0.2933560013771057,200000.0,0.19999999999999998,case_062,2.876455873490613e-08,1.4592365977941866e-17,1.1629852991745793e-07,0.0,0.4842320382595062,99015.40625,0.7559424042701721,99019.1484375,dnn,0008,0.4842030704021454,101315.3984375,0.7559313178062439,101319.1484375
10.0,0.018441950902342796,-0.34612226486206055,0.025301799178123474,-0.2962748110294342,1000000.0,1.0,case_064,1.341090349882279e-08,2.227809352037727e-28,9.245920296052645e-08,0.0,9.052461624145508,98862.109375,12.477246284484863,98877.3046875,dnn,0008,9.052518844604492,101162.109375,12.477296829223633,101177.3046875
-2.0,0.01598387025296688,-0.3522184491157532,0.021284285932779312,-0.35309284925460815,200000.0,0.19999999999999998,case_070,2.291683998123517e-08,2.149161849176341e-18,8.71752803277559e-08,0.0,0.46256622672080994,99016.5859375,0.6681739687919617,99017.9609375,dnn,0010,0.4625284671783447,101316.5859375,0.6681234836578369,101317.9609375
8.0,0.01553729921579361,-0.3459540009498596,0.021049777045845985,-0.3512571156024933,100000.0,0.09999999999999999,case_089,3.424604599899794e-08,4.537247125508927e-17,1.5282417962225736e-06,0.0,0.3330218493938446,99021.5859375,0.45861899852752686,99023.25,dnn,0010,0.3330315351486206,101321.5859375,0.4586372971534729,101323.25
-4.0,0.01645735278725624,-0.3875757157802582,0.021521423012018204,-0.4368973970413208,1000000.0,1.0,case_100,1.7907785476722893e-08,4.310937791086981e-29,2.6805042807609425e-07,0.0,7.9151201248168945,98836.1484375,10.45579719543457,98807.203125,dnn,0012,7.915127277374268,101136.1484375,10.455808639526367,101107.203125
-2.0,0.0145453792065382,-0.4036620259284973,0.018531063571572304,-0.43041038513183594,100000.0,0.09999999999999999,case_101,1.1698940483029219e-08,6.346982648154493e-17,5.403439331530535e-07,0.0,0.31981173157691956,99018.671875,0.5022652745246887,99022.8515625,dnn,0012,0.31982627511024475,101318.671875,0.5023127198219299,101322.8515625
-2.0,0.014957928098738194,-0.4168926179409027,0.01944316364824772,-0.43347975611686707,200000.0,0.19999999999999998,case_102,1.675203264994707e-08,7.484616076679008e-19,5.1699341696576084e-08,0.0,0.4387189447879791,99012.046875,0.6590375304222107,99016.359375,dnn,0012,0.43869563937187195,101312.046875,0.6590105295181274,101316.359375
6.0,0.015478484332561493,-0.3933856785297394,0.02035435661673546,-0.43604427576065063,500000.0,0.5,case_119,2.3650899549920723e-07,8.671729574396018e-23,6.709673243676662e-07,0.0,1.8529046773910522,98973.9921875,2.428274154663086,98970.65625,dnn,0012,1.8529250621795654,101273.9921875,2.428276300430298,101270.65625
10.0,0.014967050403356552,-0.42224830389022827,0.019512619823217392,-0.43347975611686707,200000.0,0.19999999999999998,case_126,1.555237183481495e-08,2.8696048332443276e-19,9.162140202079172e-08,0.0,0.4405609369277954,99011.1640625,0.6916875839233398,99016.359375,dnn,0012,0.4405376613140106,101311.1640625,0.6916841864585876,101316.359375
10.0,0.015613445080816746,-0.3996160328388214,0.020574502646923065,-0.43604427576065063,500000.0,0.5,case_127,2.321831686913356e-07,3.27156394613258e-23,6.793253533032839e-07,0.0,1.8376466035842896,98971.421875,2.4212563037872314,98970.65625,dnn,0012,1.8376775979995728,101271.421875,2.421283483505249,101270.65625
10.0,0.017372533679008484,-0.40433451533317566,0.022117583081126213,-0.4368973970413208,1000000.0,1.0,case_128,2.1347034362406703e-08,5.035478128075066e-30,7.8571559924967e-07,0.0,8.417482376098633,98822.75,10.771819114685059,98807.203125,dnn,0012,8.417500495910645,101122.75,10.771852493286133,101107.203125
4.0,0.013067887164652348,-0.49961304664611816,0.016050342470407486,-0.526039183139801,500000.0,0.5,case_147,1.6540036540391156e-07,6.771416842665135e-26,4.994613505004963e-07,0.0,1.567428708076477,98953.71875,1.958229422569275,98959.4453125,dnn,0015,1.5674169063568115,101253.71875,1.9582170248031616,101259.4453125
6.0,0.0157199427485466,-0.5554583072662354,0.01870325207710266,-0.5272224545478821,1000000.0,1.0,case_152,9.45807521191e-09,2.1750596253257036e-33,2.9411143742663626e-08,0.0,7.645557403564453,98755.640625,9.143136978149414,98762.1796875,dnn,0015,7.645586013793945,101055.640625,9.143160820007324,101062.1796875
8.0,0.015764269977808,-0.5599462985992432,0.018795175477862358,-0.5272224545478821,1000000.0,1.0,case_156,8.75265460109631e-09,1.930395353552422e-33,2.4833250122924255e-08,0.0,7.682673931121826,98753.734375,9.200289726257324,98762.1796875,dnn,0015,7.682694435119629,101053.734375,9.200311660766602,101062.1796875
10.0,0.012924532406032085,-0.4877818524837494,0.016264084726572037,-0.523880660533905,100000.0,0.09999999999999999,case_157,2.527496656412609e-09,2.2952261255239905e-19,9.929153321763806e-08,0.0,0.3693103790283203,99016.984375,0.5218066573143005,99022.390625,dnn,0015,0.3693172037601471,101316.984375,0.5218116641044617,101322.390625
10.0,0.012427471578121185,-0.48920780420303345,0.01567213051021099,-0.5225052833557129,200000.0,0.19999999999999998,case_158,1.016293182942718e-08,9.56970521515622e-22,2.231073814584761e-08,0.0,0.44177305698394775,99012.234375,0.6651725172996521,99014.578125,dnn,0015,0.4417496621608734,101312.234375,0.6651519536972046,101314.578125
-4.0,0.018650785088539124,-0.5928729772567749,0.023357117548584938,-0.6588394045829773,100000.0,0.09999999999999999,case_161,1.029969554089405e-09,1.3979874893609786e-22,3.092442080188107e-09,0.0,0.3715554475784302,99011.15625,0.5693323016166687,99021.71875,dnn,0018,0.37154072523117065,101311.1484375,0.5693262219429016,101321.71875
-4.0,0.02262314036488533,-0.6279682517051697,0.028361722826957703,-0.6674858927726746,1000000.0,1.0,case_164,1.1963946278115145e-08,2.1306388417518313e-34,2.6015291254566364e-08,0.0,11.238920211791992,98724.8359375,14.269675254821777,98692.2578125,dnn,0018,11.238951683044434,101024.8359375,14.26968002319336,100992.2578125
-2.0,0.02249412052333355,-0.6318721771240234,0.028094666078686714,-0.6674858927726746,1000000.0,1.0,case_168,1.1260978816096667e-08,2.2371875323380347e-34,2.4103782081397185e-08,0.0,11.190714836120605,98723.2421875,14.15092945098877,98692.2578125,dnn,0018,11.190740585327148,101023.234375,14.1509370803833,100992.2578125
0.0,0.018948379904031754,-0.6034039258956909,0.023534005507826805,-0.6609063744544983,200000.0,0.19999999999999998,case_170,8.550177454935692e-09,1.3117792471368794e-24,1.5736469904936712e-08,0.0,0.5576017498970032,99006.859375,0.8336325287818909,99011.8203125,dnn,0018,0.5575762391090393,101306.859375,0.833609938621521,101311.8203125
4.0,0.018919436261057854,-0.5982911586761475,0.023485183715820312,-0.6588394045829773,100000.0,0.09999999999999999,case_177,9.651549559563932e-10,5.911418176783761e-23,3.4208889054809788e-09,0.0,0.39855316281318665,99010.875,0.6083911061286926,99021.71875,dnn,0018,0.39853551983833313,101310.875,0.6083629727363586,101321.71875
4.0,0.0039005158469080925,-0.5669389367103577,0.005979934707283974,-0.6007119417190552,200000.0,0.19999999999999998,case_242,1.1780915798453861e-08,2.000099844439405e-19,2.0090881847067976e-08,0.0,0.3511422276496887,99007.5390625,0.5787084698677063,99013.0234375,dnn,2415,0.35116758942604065,101307.5390625,0.5787312984466553,101313.0234375
8.0,0.004617080558091402,-0.5702707767486572,0.007183244451880455,-0.6007119417190552,200000.0,0.19999999999999998,case_250,1.1753653161861166e-08,1.2787973163173992e-19,2.032556167819166e-08,0.0,0.37482935190200806,99007.6953125,0.6094688177108765,99013.0234375,dnn,2415,0.374851793050766,101307.6953125,0.6094972491264343,101313.0234375
8.0,0.0042344434186816216,-0.5974711179733276,0.006986804772168398,-0.588989794254303,500000.0,0.5,case_251,1.0598601107858485e-07,2.4052626484388114e-22,2.5131831193903054e-07,0.0,0.6633214354515076,98955.1171875,1.0701512098312378,98951.59375,dnn,2415,0.6633496880531311,101255.109375,1.0702177286148071,101251.59375
10.0,0.005043468903750181,-0.5717489123344421,0.007988042198121548,-0.6007119417190552,200000.0,0.19999999999999998,case_254,1.1784973885653471e-08,1.0254045589581013e-19,2.054743752921695e-08,0.0,0.3899121880531311,99007.7890625,0.6296231150627136,99013.0234375,dnn,2415,0.38993754982948303,101307.7890625,0.6296383738517761,101313.0234375
-2.0,0.02246994525194168,-0.5919756293296814,0.027158087119460106,-0.6808620691299438,500000.0,0.5,case_263,9.976782422427277e-08,4.887081803648911e-19,2.790879705116822e-07,0.0,2.643773078918457,98945.9921875,3.2604219913482666,98940.1484375,dnn,4412,2.6437692642211914,101245.9921875,3.2604215145111084,101240.1484375
2.0,0.02249966561794281,-0.568282425403595,0.026713905856013298,-0.6737068891525269,100000.0,0.09999999999999999,case_269,1.4932673986223222e-09,1.55494483573792e-16,7.3765304975381696e-09,0.0,0.33097606897354126,99016.984375,0.5365314483642578,99021.640625,dnn,4412,0.33099547028541565,101316.984375,0.5365390181541443,101321.640625
8.0,0.02238515578210354,-0.5781679153442383,0.026734311133623123,-0.6737068891525269,100000.0,0.09999999999999999,case_281,1.707196384259646e-09,8.202333541987663e-17,1.3805316001480605e-08,0.0,0.34235408902168274,99017.21875,0.5451051592826843,99021.640625,dnn,4412,0.34234243631362915,101317.21875,0.5450735688209534,101321.640625
8.0,0.021726224571466446,-0.6055203676223755,0.026240674778819084,-0.6808620691299438,500000.0,0.5,case_283,8.463834433314332e-08,4.4537614303054175e-20,2.2599063242978445e-07,0.0,2.656611204147339,98946.6640625,3.277902841567993,98940.1484375,dnn,4412,2.6566402912139893,101246.6640625,3.2779316902160645,101240.1484375
10.0,0.02237224020063877,-0.5809579491615295,0.0268419086933136,-0.6737068891525269,100000.0,0.09999999999999999,case_285,1.808600602615229e-09,6.736973822427114e-17,1.7027877774467015e-08,0.0,0.3498287498950958,99017.3125,0.5555509924888611,99021.640625,dnn,4412,0.3498375117778778,101317.3125,0.555539071559906,101321.640625
-2.0,0.018316037952899933,-0.7421834468841553,0.021872276440262794,-0.7851275205612183,200000.0,0.19999999999999998,case_294,1.290999751546451e-08,6.391804504980475e-19,3.046432794917564e-08,0.0,0.4897163510322571,99001.59375,0.6909300088882446,99009.34375,dnn,4415,0.4897173047065735,101301.59375,0.6909297108650208,101309.34375
-2.0,0.016709163784980774,-0.7635489702224731,0.020754246041178703,-0.7829063534736633,1000000.0,1.0,case_296,1.2849412200921506e-08,3.0060314804312545e-29,2.5301101658214975e-08,0.0,8.362953186035156,98644.6875,10.440179824829102,98634.71875,dnn,4415,8.362897872924805,100944.6875,10.440123558044434,100934.71875
0.0,0.019130488857626915,-0.7272911071777344,0.022913124412298203,-0.7778218388557434,100000.0,0.09999999999999999,case_297,3.6178036122436197e-09,6.100294890178519e-17,9.467539285878956e-08,0.0,0.2862352430820465,99015.484375,0.4429517984390259,99021.125,dnn,4415,0.2862352430820465,101315.484375,0.4429439902305603,101321.125
4.0,0.019280938431620598,-0.7384718060493469,0.023194536566734314,-0.7778218388557434,100000.0,0.09999999999999999,case_305,5.02708719096745e-09,3.767570123907116e-17,1.5396886965390877e-07,0.0,0.29831886291503906,99015.109375,0.46137693524360657,99021.125,dnn,4415,0.29831692576408386,101315.109375,0.4613622725009918,101321.125
4.0,0.01876859925687313,-0.7975454330444336,0.022668804973363876,-0.789480984210968,500000.0,0.5,case_307,8.218385261216099e-08,1.3096370167782055e-20,2.1619410972562036e-07,0.0,2.4489259719848633,98922.421875,3.014592170715332,98926.609375,dnn,4415,2.448904514312744,101222.4296875,3.0145623683929443,101226.609375
6.0,0.018944954499602318,-0.7996196746826172,0.023003706708550453,-0.789480984210968,500000.0,0.5,case_311,7.855144446011764e-08,1.2292626877780408e-20,2.0184536708711676e-07,0.0,2.5115206241607666,98923.0625,3.086580753326416,98926.609375,dnn,4415,2.511481761932373,101223.0703125,3.0865421295166016,101226.609375
6.0,0.01675591617822647,-0.7707595825195312,0.02066219225525856,-0.7829063534736633,1000000.0,1.0,case_312,9.869574491006006e-09,5.523939100954741e-30,1.9261403139125832e-08,0.0,8.361804008483887,98639.6015625,10.370756149291992,98634.71875,dnn,4415,8.361760139465332,100939.6015625,10.370691299438477,100934.71875
8.0,0.018521446734666824,-0.7642897367477417,0.02255106344819069,-0.7851275205612183,200000.0,0.19999999999999998,case_314,1.3915929741870059e-08,2.3145077056026016e-19,3.294291062161392e-08,0.0,0.5507100224494934,99001.2421875,0.7798269987106323,99009.34375,dnn,4415,0.550711989402771,101301.2421875,0.7798507213592529,101309.34375
10.0,0.019416196271777153,-0.8026638031005859,0.023880667984485626,-0.789480984210968,500000.0,0.5,case_319,7.096721788002469e-08,1.1793101876265011e-20,1.7332830282157374e-07,0.0,2.6507067680358887,98924.3359375,3.2654805183410645,98926.609375,dnn,4415,2.6506764888763428,101224.34375,3.265479564666748,101226.609375
4.0,0.01750781759619713,-0.8171528577804565,0.022180557250976562,-0.8737464547157288,100000.0,0.09999999999999999,case_337,3.4286666839022928e-09,2.0510028074265108e-18,1.5891227178599365e-07,0.0,0.336996465921402,99017.7421875,0.5349498391151428,99020.640625,dnn,4418,0.33700332045555115,101317.7421875,0.534990131855011,101320.640625
6.0,0.0172437597066164,-0.8351263999938965,0.021963108330965042,-0.8808767199516296,200000.0,0.19999999999999998,case_342,1.2795597470471876e-08,2.6652308636084075e-20,2.8832307208404018e-08,0.0,0.5057122111320496,99004.75,0.7488210201263428,99007.4375,dnn,4418,0.5057288408279419,101304.7421875,0.7488499283790588,101307.4375
6.0,0.017431845888495445,-0.8555655479431152,0.022010255604982376,-0.885127604007721,500000.0,0.5,case_343,9.25370216009469e-08,1.158737967493205e-22,2.7415319436840946e-07,0.0,2.4341907501220703,98916.390625,3.0604782104492188,98914.6875,dnn,4418,2.4341800212860107,101216.3984375,3.0604803562164307,101214.6875
8.0,0.017660018056631088,-0.8221466541290283,0.022415218874812126,-0.8737464547157288,100000.0,0.09999999999999999,case_345,3.9494816306273606e-09,1.4468695858920288e-18,1.993502394270763e-07,0.0,0.36118143796920776,99017.703125,0.5744814872741699,99020.640625,dnn,4418,0.36116674542427063,101317.703125,0.5744636654853821,101320.640625
8.0,0.017284076660871506,-0.838171124458313,0.022096771746873856,-0.8808767199516296,200000.0,0.19999999999999998,case_346,1.3002565246722497e-08,2.2126242896071e-20,2.920019426255749e-08,0.0,0.5234512090682983,99004.828125,0.7700850367546082,99007.4375,dnn,4418,0.5234766602516174,101304.828125,0.7701030373573303,101307.4375
