AoA,Re,U_inf,ambient_pressure_Pa,case,fn,fp,min_pred_margin_Pa,min_truth_margin_Pa,model,naca,pred_risky_fraction,tn,tp,truth_risky_fraction
-2.0,100000.0,0.09999999999999999,2500.0,case_001,0,0,199.022705078125,198.864990234375,fno,0006,0.0,8124,0,0.0
-2.0,100000.0,0.09999999999999999,3000.0,case_001,0,0,699.022705078125,698.864990234375,fno,0006,0.0,8124,0,0.0
-2.0,100000.0,0.09999999999999999,5000.0,case_001,0,0,2699.0224609375,2698.865234375,fno,0006,0.0,8124,0,0.0
-2.0,100000.0,0.09999999999999999,10000.0,case_001,0,0,7699.0224609375,7698.865234375,fno,0006,0.0,8124,0,0.0
-2.0,100000.0,0.09999999999999999,25000.0,case_001,0,0,22699.0234375,22698.865234375,fno,0006,0.0,8124,0,0.0
-2.0,100000.0,0.09999999999999999,101325.0,case_001,0,0,99024.0234375,99023.8671875,fno,0006,0.0,8124,0,0.0
0.0,100000.0,0.09999999999999999,2500.0,case_002,0,0,198.599853515625,198.596435546875,fno,0008,0.0,8088,0,0.0
0.0,100000.0,0.09999999999999999,3000.0,case_002,0,0,698.599853515625,698.596435546875,fno,0008,0.0,8088,0,0.0
0.0,100000.0,0.09999999999999999,5000.0,case_002,0,0,2698.599609375,2698.59619140625,fno,0008,0.0,8088,0,0.0
0.0,100000.0,0.09999999999999999,10000.0,case_002,0,0,7698.599609375,7698.5966796875,fno,0008,0.0,8088,0,0.0
0.0,100000.0,0.09999999999999999,25000.0,case_002,0,0,22698.599609375,22698.595703125,fno,0008,0.0,8088,0,0.0
0.0,100000.0,0.09999999999999999,101325.0,case_002,0,0,99023.6015625,99023.59375,fno,0008,0.0,8088,0,0.0
4.0,200000.0,0.19999999999999998,2500.0,case_003,0,0,191.55908203125,192.07080078125,fno,0012,0.0,8050,0,0.0
4.0,200000.0,0.19999999999999998,3000.0,case_003,0,0,691.55908203125,692.07080078125,fno,0012,0.0,8050,0,0.0
4.0,200000.0,0.19999999999999998,5000.0,case_003,0,0,2691.55908203125,2692.07080078125,fno,0012,0.0,8050,0,0.0
4.0,200000.0,0.19999999999999998,10000.0,case_003,0,0,7691.5595703125,7692.0703125,fno,0012,0.0,8050,0,0.0
4.0,200000.0,0.19999999999999998,25000.0,case_003,0,0,22691.55859375,22692.0703125,fno,0012,0.0,8050,0,0.0
4.0,200000.0,0.19999999999999998,101325.0,case_003,0,0,99016.5625,99017.0703125,fno,0012,0.0,8050,0,0.0
6.0,500000.0,0.5,2500.0,case_004,0,0,138.70703125,132.6640625,fno,2412,0.0,8045,0,0.0
6.0,500000.0,0.5,3000.0,case_004,0,0,638.70703125,632.6640625,fno,2412,0.0,8045,0,0.0
6.0,500000.0,0.5,5000.0,case_004,0,0,2638.70703125,2632.6640625,fno,2412,0.0,8045,0,0.0
6.0,500000.0,0.5,10000.0,case_004,0,0,7638.70703125,7632.6640625,fno,2412,0.0,8045,0,0.0
6.0,500000.0,0.5,25000.0,case_004,0,0,22638.70703125,22632.6640625,fno,2412,0.0,8045,0,0.0
6.0,500000.0,0.5,101325.0,case_004,0,0,98963.703125,98957.6640625,fno,2412,0.0,8045,0,0.0
8.0,1000000.0,1.0,2500.0,case_005,10,3,-209.2109375,-223.983642578125,fno,4415,0.02047952047952048,7834,161,0.021353646353646352
8.0,1000000.0,1.0,3000.0,case_005,0,0,290.7890625,276.016357421875,fno,4415,0.0,8008,0,0.0
8.0,1000000.0,1.0,5000.0,case_005,0,0,2290.7890625,2276.01611328125,fno,4415,0.0,8008,0,0.0
8.0,1000000.0,1.0,10000.0,case_005,0,0,7290.7890625,7276.0166015625,fno,4415,0.0,8008,0,0.0
8.0,1000000.0,1.0,25000.0,case_005,0,0,22290.7890625,22276.015625,fno,4415,0.0,8008,0,0.0
8.0,1000000.0,1.0,101325.0,case_005,0,0,98615.7890625,98601.015625,fno,4415,0.0,8008,0,0.0
