AoA,Re,U_inf,ambient_pressure_Pa,case,fn,fp,min_pred_margin_Pa,min_truth_margin_Pa,model,naca,pred_risky_fraction,tn,tp,truth_risky_fraction
-4.0,100000.0,0.09999999999999999,2500.0,case_129,0,0,194.597412109375,194.35107421875,unet,0015,0.0,8008,0,0.0
-4.0,100000.0,0.09999999999999999,3000.0,case_129,0,0,694.597412109375,694.35107421875,unet,0015,0.0,8008,0,0.0
-4.0,100000.0,0.09999999999999999,5000.0,case_129,0,0,2694.59765625,2694.35107421875,unet,0015,0.0,8008,0,0.0
-4.0,100000.0,0.09999999999999999,10000.0,case_129,0,0,7694.59765625,7694.3505859375,unet,0015,0.0,8008,0,0.0
-4.0,100000.0,0.09999999999999999,25000.0,case_129,0,0,22694.59765625,22694.3515625,unet,0015,0.0,8008,0,0.0
-4.0,100000.0,0.09999999999999999,101325.0,case_129,0,0,99019.59375,99019.3515625,unet,0015,0.0,8008,0,0.0
-4.0,200000.0,0.19999999999999998,2500.0,case_130,0,0,178.4462890625,177.379638671875,unet,0015,0.0,8008,0,0.0
-4.0,200000.0,0.19999999999999998,3000.0,case_130,0,0,678.4462890625,677.379638671875,unet,0015,0.0,8008,0,0.0
-4.0,200000.0,0.19999999999999998,5000.0,case_130,0,0,2678.4462890625,2677.37939453125,unet,0015,0.0,8008,0,0.0
-4.0,200000.0,0.19999999999999998,10000.0,case_130,0,0,7678.4462890625,7677.3798828125,unet,0015,0.0,8008,0,0.0
-4.0,200000.0,0.19999999999999998,25000.0,case_130,0,0,22678.4453125,22677.37890625,unet,0015,0.0,8008,0,0.0
-4.0,200000.0,0.19999999999999998,101325.0,case_130,0,0,99003.4453125,99002.3828125,unet,0015,0.0,8008,0,0.0
-4.0,500000.0,0.5,2500.0,case_131,0,0,66.4609375,57.5546875,unet,0015,0.0,8008,0,0.0
-4.0,500000.0,0.5,3000.0,case_131,0,0,566.4609375,557.5546875,unet,0015,0.0,8008,0,0.0
-4.0,500000.0,0.5,5000.0,case_131,0,0,2566.4609375,2557.5546875,unet,0015,0.0,8008,0,0.0
-4.0,500000.0,0.5,10000.0,case_131,0,0,7566.4609375,7557.5546875,unet,0015,0.0,8008,0,0.0
-4.0,500000.0,0.5,25000.0,case_131,0,0,22566.4609375,22557.5546875,unet,0015,0.0,8008,0,0.0
-4.0,500000.0,0.5,101325.0,case_131,0,0,98891.4609375,98882.5546875,unet,0015,0.0,8008,0,0.0
-4.0,1000000.0,1.0,2500.0,case_132,43,1,-324.723876953125,-371.20068359375,unet,0015,0.01510989010989011,7844,120,0.020354645354645356
-4.0,1000000.0,1.0,3000.0,case_132,0,0,175.276123046875,128.79931640625,unet,0015,0.0,8008,0,0.0
-4.0,1000000.0,1.0,5000.0,case_132,0,0,2175.2763671875,2128.79931640625,unet,0015,0.0,8008,0,0.0
-4.0,1000000.0,1.0,10000.0,case_132,0,0,7175.2763671875,7128.7998046875,unet,0015,0.0,8008,0,0.0
-4.0,1000000.0,1.0,25000.0,case_132,0,0,22175.275390625,22128.798828125,unet,0015,0.0,8008,0,0.0
-4.0,1000000.0,1.0,101325.0,case_132,0,0,98500.2734375,98453.796875,unet,0015,0.0,8008,0,0.0
-2.0,100000.0,0.09999999999999999,2500.0,case_133,0,0,195.58837890625,195.881591796875,unet,0015,0.0,8008,0,0.0
-2.0,100000.0,0.09999999999999999,3000.0,case_133,0,0,695.58837890625,695.881591796875,unet,0015,0.0,8008,0,0.0
-2.0,100000.0,0.09999999999999999,5000.0,case_133,0,0,2695.58837890625,2695.88134765625,unet,0015,0.0,8008,0,0.0
-2.0,100000.0,0.09999999999999999,10000.0,case_133,0,0,7695.5888671875,7695.8818359375,unet,0015,0.0,8008,0,0.0
-2.0,100000.0,0.09999999999999999,25000.0,case_133,0,0,22695.587890625,22695.880859375,unet,0015,0.0,8008,0,0.0
-2.0,100000.0,0.09999999999999999,101325.0,case_133,0,0,99020.5859375,99020.8828125,unet,0015,0.0,8008,0,0.0
-2.0,200000.0,0.19999999999999998,2500.0,case_134,0,0,182.5361328125,183.510009765625,unet,0015,0.0,8008,0,0.0
-2.0,200000.0,0.19999999999999998,3000.0,case_134,0,0,682.5361328125,683.510009765625,unet,0015,0.0,8008,0,0.0
-2.0,200000.0,0.19999999999999998,5000.0,case_134,0,0,2682.5361328125,2683.509765625,unet,0015,0.0,8008,0,0.0
-2.0,200000.0,0.19999999999999998,10000.0,case_134,0,0,7682.5361328125,7683.509765625,unet,0015,0.0,8008,0,0.0
-2.0,200000.0,0.19999999999999998,25000.0,case_134,0,0,22682.537109375,22683.509765625,unet,0015,0.0,8008,0,0.0
-2.0,200000.0,0.19999999999999998,101325.0,case_134,0,0,99007.5390625,99008.5078125,unet,0015,0.0,8008,0,0.0
-2.0,500000.0,0.5,2500.0,case_135,0,0,94.475830078125,96.166015625,unet,0015,0.0,8008,0,0.0
-2.0,500000.0,0.5,3000.0,case_135,0,0,594.475830078125,596.166015625,unet,0015,0.0,8008,0,0.0
-2.0,500000.0,0.5,5000.0,case_135,0,0,2594.4755859375,2596.166015625,unet,0015,0.0,8008,0,0.0
-2.0,500000.0,0.5,10000.0,case_135,0,0,7594.4755859375,7596.166015625,unet,0015,0.0,8008,0,0.0
-2.0,500000.0,0.5,25000.0,case_135,0,0,22594.4765625,22596.166015625,unet,0015,0.0,8008,0,0.0
-2.0,500000.0,0.5,101325.0,case_135,0,0,98919.4765625,98921.1640625,unet,0015,0.0,8008,0,0.0
-2.0,1000000.0,1.0,2500.0,case_136,8,9,-195.48046875,-216.358642578125,unet,0015,0.01048951048951049,7916,75,0.010364635364635364
-2.0,1000000.0,1.0,3000.0,case_136,0,0,304.51953125,283.641357421875,unet,0015,0.0,8008,0,0.0
-2.0,1000000.0,1.0,5000.0,case_136,0,0,2304.51953125,2283.64111328125,unet,0015,0.0,8008,0,0.0
-2.0,1000000.0,1.0,10000.0,case_136,0,0,7304.51953125,7283.6416015625,unet,0015,0.0,8008,0,0.0
-2.0,1000000.0,1.0,25000.0,case_136,0,0,22304.51953125,22283.640625,unet,0015,0.0,8008,0,0.0
-2.0,1000000.0,1.0,101325.0,case_136,0,0,98629.5234375,98608.640625,unet,0015,0.0,8008,0,0.0
0.0,100000.0,0.09999999999999999,2500.0,case_137,0,0,197.502685546875,197.3544921875,unet,0015,0.0,8008,0,0.0
0.0,100000.0,0.09999999999999999,3000.0,case_137,0,0,697.502685546875,697.3544921875,unet,0015,0.0,8008,0,0.0
0.0,100000.0,0.09999999999999999,5000.0,case_137,0,0,2697.5029296875,2697.3544921875,unet,0015,0.0,8008,0,0.0
0.0,100000.0,0.09999999999999999,10000.0,case_137,0,0,7697.5029296875,7697.3544921875,unet,0015,0.0,8008,0,0.0
0.0,100000.0,0.09999999999999999,25000.0,case_137,0,0,22697.501953125,22697.353515625,unet,0015,0.0,8008,0,0.0
0.0,100000.0,0.09999999999999999,101325.0,case_137,0,0,99022.5,99022.3515625,unet,0015,0.0,8008,0,0.0
0.0,200000.0,0.19999999999999998,2500.0,case_138,0,0,190.21337890625,189.410400390625,unet,0015,0.0,8008,0,0.0
0.0,200000.0,0.19999999999999998,3000.0,case_138,0,0,690.21337890625,689.410400390625,unet,0015,0.0,8008,0,0.0
0.0,200000.0,0.19999999999999998,5000.0,case_138,0,0,2690.21337890625,2689.41015625,unet,0015,0.0,8008,0,0.0
0.0,200000.0,0.19999999999999998,10000.0,case_138,0,0,7690.212890625,7689.41015625,unet,0015,0.0,8008,0,0.0
0.0,200000.0,0.19999999999999998,25000.0,case_138,0,0,22690.212890625,22689.41015625,unet,0015,0.0,8008,0,0.0
0.0,200000.0,0.19999999999999998,101325.0,case_138,0,0,99015.2109375,99014.4140625,unet,0015,0.0,8008,0,0.0
0.0,500000.0,0.5,2500.0,case_139,0,0,140.342041015625,133.32568359375,unet,0015,0.0,8008,0,0.0
0.0,500000.0,0.5,3000.0,case_139,0,0,640.342041015625,633.32568359375,unet,0015,0.0,8008,0,0.0
0.0,500000.0,0.5,5000.0,case_139,0,0,2640.341796875,2633.32568359375,unet,0015,0.0,8008,0,0.0
