naca,Re,reference_case,reference_AoA,case,AoA,max_abs_pressure_difference_Pa,exact_duplicate_across_AoA
0006,100000.0,case_001,-4.0,case_005,-2.0,3.3841747886908706,False
0006,100000.0,case_001,-4.0,case_009,0.0,6.504433491150849,False
0006,100000.0,case_001,-4.0,case_013,2.0,8.489549066929612,False
0006,100000.0,case_001,-4.0,case_017,4.0,9.639181682781782,False
0006,100000.0,case_001,-4.0,case_021,6.0,12.335156578468741,False
0006,100000.0,case_001,-4.0,case_025,8.0,14.28345402222476,False
0006,100000.0,case_001,-4.0,case_029,10.0,16.323804917978123,False
0006,200000.0,case_002,-4.0,case_006,-2.0,13.633016796215088,False
0006,200000.0,case_002,-4.0,case_010,0.0,25.66139788136934,False
0006,200000.0,case_002,-4.0,case_014,2.0,33.665934985125205,False
0006,200000.0,case_002,-4.0,case_018,4.0,38.19140093406895,False
0006,200000.0,case_002,-4.0,case_022,6.0,49.69308640944655,False
0006,200000.0,case_002,-4.0,case_026,8.0,57.43878873749054,False
0006,200000.0,case_002,-4.0,case_030,10.0,7857451.069732161,False
0006,500000.0,case_003,-4.0,case_007,-2.0,85.6893209242262,False
0006,500000.0,case_003,-4.0,case_011,0.0,161.28853995879763,False
0006,500000.0,case_003,-4.0,case_015,2.0,211.56088443283807,False
0006,500000.0,case_003,-4.0,case_019,4.0,239.93467391474405,False
0006,500000.0,case_003,-4.0,case_023,6.0,312.0261265219742,False
0006,500000.0,case_003,-4.0,case_027,8.0,359.07194232226175,False
0006,500000.0,case_003,-4.0,case_031,10.0,380.2549238892534,False
0006,1000000.0,case_004,-4.0,case_008,-2.0,343.40256048043375,False
0006,1000000.0,case_004,-4.0,case_012,0.0,646.3644507346617,False
0006,1000000.0,case_004,-4.0,case_016,2.0,847.7803891928634,False
0006,1000000.0,case_004,-4.0,case_020,4.0,961.396813565676,False
0006,1000000.0,case_004,-4.0,case_024,6.0,1249.9756130856986,False
0006,1000000.0,case_004,-4.0,case_028,8.0,1438.322390082365,False
0006,1000000.0,case_004,-4.0,case_032,10.0,1522.5831686260644,False
0008,100000.0,case_033,-4.0,case_037,-2.0,86345.67431509256,False
0008,100000.0,case_033,-4.0,case_041,0.0,86344.88720505127,False
0008,100000.0,case_033,-4.0,case_045,2.0,86344.04801502505,False
0008,100000.0,case_033,-4.0,case_049,4.0,86343.19292308095,False
0008,100000.0,case_033,-4.0,case_053,6.0,86342.33904075349,False
0008,100000.0,case_033,-4.0,case_057,8.0,86341.55547761674,False
0008,100000.0,case_033,-4.0,case_061,10.0,86340.92157846093,False
0008,200000.0,case_034,-4.0,case_038,-2.0,8.111104402152705,False
0008,200000.0,case_034,-4.0,case_042,0.0,14.768804957100656,False
0008,200000.0,case_034,-4.0,case_046,2.0,20.778493940873886,False
0008,200000.0,case_034,-4.0,case_050,4.0,25.911752276530024,False
0008,200000.0,case_034,-4.0,case_054,6.0,34.474213056397275,False
0008,200000.0,case_034,-4.0,case_058,8.0,42.70512865882483,False
0008,200000.0,case_034,-4.0,case_062,10.0,46.474426761691575,False
0008,500000.0,case_035,-4.0,case_039,-2.0,51.081499893785804,False
0008,500000.0,case_035,-4.0,case_043,0.0,92.74113669664075,False
0008,500000.0,case_035,-4.0,case_047,2.0,130.46438657904218,False
0008,500000.0,case_035,-4.0,case_051,4.0,162.50508805483696,False
0008,500000.0,case_035,-4.0,case_055,6.0,213.1917194917769,False
0008,500000.0,case_035,-4.0,case_059,8.0,259.02351496959454,False
0008,500000.0,case_035,-4.0,case_063,10.0,291.48635321945767,False
0008,1000000.0,case_036,-4.0,case_040,-2.0,204.8468816520617,False
0008,1000000.0,case_036,-4.0,case_044,0.0,371.5455741638434,False
0008,1000000.0,case_036,-4.0,case_048,2.0,522.6558503926499,False
0008,1000000.0,case_036,-4.0,case_052,4.0,650.7624302681652,False
0008,1000000.0,case_036,-4.0,case_056,6.0,853.8455164238985,False
0008,1000000.0,case_036,-4.0,case_060,8.0,1037.4923190150148,False
0008,1000000.0,case_036,-4.0,case_064,10.0,1167.2310741321999,False
0010,100000.0,case_065,-4.0,case_069,-2.0,2.2410206114000175,False
0010,100000.0,case_065,-4.0,case_073,0.0,4.2231916244491,False
0010,100000.0,case_065,-4.0,case_077,2.0,5.88774134517007,False
0010,100000.0,case_065,-4.0,case_081,4.0,7.217098457127577,False
0010,100000.0,case_065,-4.0,case_085,6.0,9.173903753500781,False
0010,100000.0,case_065,-4.0,case_089,8.0,11.223423409828683,False
0010,100000.0,case_065,-4.0,case_093,10.0,12.458593524963362,False
0010,200000.0,case_066,-4.0,case_070,-2.0,8.973399018097552,False
0010,200000.0,case_066,-4.0,case_074,0.0,16.902749195782235,False
0010,200000.0,case_066,-4.0,case_078,2.0,23.55107345574652,False
0010,200000.0,case_066,-4.0,case_082,4.0,29.110053279990098,False
0010,200000.0,case_066,-4.0,case_086,6.0,36.83057972448296,False
0010,200000.0,case_066,-4.0,case_090,8.0,44.12532546465809,False
0010,200000.0,case_066,-4.0,case_094,10.0,49.3359245587053,False
0010,500000.0,case_067,-4.0,case_071,-2.0,56.45939205340983,False
0010,500000.0,case_067,-4.0,case_075,0.0,106.32449960413214,False
0010,500000.0,case_067,-4.0,case_079,2.0,148.10813053807942,False
0010,500000.0,case_067,-4.0,case_083,4.0,181.44964478835755,False
0010,500000.0,case_067,-4.0,case_087,6.0,227.46560123149538,False
0010,500000.0,case_067,-4.0,case_091,8.0,274.0719818197249,False
0010,500000.0,case_067,-4.0,case_095,10.0,310.4316226822266,False
0010,1000000.0,case_068,-4.0,case_072,-2.0,226.33542968351685,False
0010,1000000.0,case_068,-4.0,case_076,0.0,426.2037542332255,False
0010,1000000.0,case_068,-4.0,case_080,2.0,593.6471216423088,False
0010,1000000.0,case_068,-4.0,case_084,4.0,727.2090347205958,False
0010,1000000.0,case_068,-4.0,case_088,6.0,911.4441695201385,False
0010,1000000.0,case_068,-4.0,case_092,8.0,1098.25792888063,False
0010,1000000.0,case_068,-4.0,case_096,10.0,1242.3926207507466,False
0012,100000.0,case_097,-4.0,case_101,-2.0,2.396673777664546,False
0012,100000.0,case_097,-4.0,case_105,0.0,4.5078311538818525,False
0012,100000.0,case_097,-4.0,case_109,2.0,6.2546050351520535,False
0012,100000.0,case_097,-4.0,case_113,4.0,7.581608196298475,False
0012,100000.0,case_097,-4.0,case_117,6.0,9.88069322683441,False
0012,100000.0,case_097,-4.0,case_121,8.0,12.158419328319724,False
0012,100000.0,case_097,-4.0,case_125,10.0,14.12205687558162,False
0012,200000.0,case_098,-4.0,case_102,-2.0,9.6522562411119,False
0012,200000.0,case_098,-4.0,case_106,0.0,18.16022626697668,False
0012,200000.0,case_098,-4.0,case_110,2.0,25.19963600259507,False
0012,200000.0,case_098,-4.0,case_114,4.0,30.549792028585216,False
0012,200000.0,case_098,-4.0,case_118,6.0,39.817286687524756,False
0012,200000.0,case_098,-4.0,case_122,8.0,48.34540474040841,False
0012,200000.0,case_098,-4.0,case_126,10.0,57.09897041070508,False
0012,500000.0,case_099,-4.0,case_103,-2.0,60.72963151318254,False
0012,500000.0,case_099,-4.0,case_107,0.0,114.24409991578432,False
0012,500000.0,case_099,-4.0,case_111,2.0,158.49721284251427,False
0012,500000.0,case_099,-4.0,case_115,4.0,192.14004604623187,False
0012,500000.0,case_099,-4.0,case_119,6.0,246.0713946380274,False
0012,500000.0,case_099,-4.0,case_123,8.0,300.4314134332235,False
0012,500000.0,case_099,-4.0,case_127,10.0,355.30344493995653,False
0012,1000000.0,case_100,-4.0,case_104,-2.0,243.4532578419603,False
0012,1000000.0,case_100,-4.0,case_108,0.0,457.9625963400176,False
0012,1000000.0,case_100,-4.0,case_112,2.0,635.3158553823887,False
0012,1000000.0,case_100,-4.0,case_116,4.0,770.1602090463421,False
0012,1000000.0,case_100,-4.0,case_120,6.0,986.2021145352919,False
0012,1000000.0,case_100,-4.0,case_124,8.0,1204.3292210169602,False
0012,1000000.0,case_100,-4.0,case_128,10.0,1424.436821671523,False
0015,100000.0,case_129,-4.0,case_133,-2.0,2.693903943451005,False
0015,100000.0,case_129,-4.0,case_137,0.0,5.080119511228986,False
0015,100000.0,case_129,-4.0,case_141,2.0,7.026000610028859,False
0015,100000.0,case_129,-4.0,case_145,4.0,8.431712241261266,False
0015,100000.0,case_129,-4.0,case_149,6.0,10.148004578746622,False
0015,100000.0,case_129,-4.0,case_153,8.0,12.76307782906224,False
0015,100000.0,case_129,-4.0,case_157,10.0,15.975571267583291,False
0015,200000.0,case_130,-4.0,case_134,-2.0,10.785437493788777,False
0015,200000.0,case_130,-4.0,case_138,0.0,20.3398639333318,False
0015,200000.0,case_130,-4.0,case_142,2.0,28.13391724790563,False
0015,200000.0,case_130,-4.0,case_146,4.0,33.72138933264068,False
0015,200000.0,case_130,-4.0,case_150,6.0,40.79157865924935,False
0015,200000.0,case_130,-4.0,case_154,8.0,51.87906201169244,False
0015,200000.0,case_130,-4.0,case_158,10.0,64.3866899626446,False
0015,500000.0,case_131,-4.0,case_135,-2.0,67.96222730986483,False
0015,500000.0,case_131,-4.0,case_139,0.0,128.15150886085758,False
0015,500000.0,case_131,-4.0,case_143,2.0,177.22115785496135,False
0015,500000.0,case_131,-4.0,case_147,4.0,212.33720850208192,False
0015,500000.0,case_131,-4.0,case_151,6.0,250.5074417102005,False
0015,500000.0,case_131,-4.0,case_155,8.0,321.89558870096516,False
0015,500000.0,case_131,-4.0,case_159,10.0,391.6136230205884,False
0015,1000000.0,case_132,-4.0,case_136,-2.0,272.5841003472451,False
0015,1000000.0,case_132,-4.0,case_140,0.0,513.9723389590654,False
0015,1000000.0,case_132,-4.0,case_144,2.0,710.7270518873702,False
0015,1000000.0,case_132,-4.0,case_148,4.0,859.3195936226111,False
0015,1000000.0,case_132,-4.0,case_152,6.0,1004.0877229107573,False
0015,1000000.0,case_132,-4.0,case_156,8.0,1290.493228397012,False
0015,1000000.0,case_132,-4.0,case_160,10.0,1570.3064298355603,False
0018,100000.0,case_161,-4.0,case_165,-2.0,2.7798775174160255,False
0018,100000.0,case_161,-4.0,case_169,0.0,4.948173241922632,False
0018,100000.0,case_161,-4.0,case_173,2.0,6.504588155847159,False
0018,100000.0,case_161,-4.0,case_177,4.0,7.631972040660912,False
0018,100000.0,case_161,-4.0,case_181,6.0,10.28556670267426,False
0018,100000.0,case_161,-4.0,case_185,8.0,13.864141982776346,False
0018,100000.0,case_161,-4.0,case_189,10.0,16.909823980604415,False
0018,200000.0,case_162,-4.0,case_166,-2.0,11.44879953059717,False
0018,200000.0,case_162,-4.0,case_170,0.0,20.1479470358463,False
0018,200000.0,case_162,-4.0,case_174,2.0,26.375030354756746,False
0018,200000.0,case_162,-4.0,case_178,4.0,30.919881268273457,False
0018,200000.0,case_162,-4.0,case_182,6.0,41.462198088367586,False
0018,200000.0,case_162,-4.0,case_186,8.0,53.8255205283931,False
0018,200000.0,case_162,-4.0,case_190,10.0,68.42322474390676,False
0018,500000.0,case_163,-4.0,case_167,-2.0,64.7464907096437,False
0018,500000.0,case_163,-4.0,case_171,0.0,119.6734786379966,False
0018,500000.0,case_163,-4.0,case_175,2.0,161.2290069454466,False
0018,500000.0,case_163,-4.0,case_179,4.0,189.29146417911397,False
0018,500000.0,case_163,-4.0,case_183,6.0,261.33306205306144,False
0018,500000.0,case_163,-4.0,case_187,8.0,339.05970608771895,False
0018,500000.0,case_163,-4.0,case_191,10.0,418.3715470469906,False
0018,1000000.0,case_164,-4.0,case_168,-2.0,259.9010182596103,False
0018,1000000.0,case_164,-4.0,case_172,0.0,480.3566252887249,False
