field,mae,model,n,r2,relative_rmse,rmse
Ux,0.298213591585701,unet,513696,-0.001181283138765865,0.7829602533977903,0.3501442198600447
Uy,0.02615368313873778,unet,513696,0.5491119995194862,1.7749551147025866,0.03920656524499607
p,13.669294923456675,unet,513696,0.39168464523632096,0.000281521806963159,28.524433244965845
nut,6.419643002149566e-06,unet,513696,0.08099404800236942,3.46346590047025,1.845241748277452e-05
k,0.00012653162821950502,unet,513696,0.010635146623079073,25.69528840696409,0.0010185044661270134
omega,0.5288442295977376,unet,513696,0.08842504244016225,6.582637006338988,3.067529606565823
Cp,0.019938331719011222,unet,513696,0.9569854804185686,1.7562143736659355,0.02940590714865433
cavitation_margin,13.661424509826823,unet,513696,0.39184233207309405,0.00028802340335976783,28.52073603151746
Cl,0.0867650246655556,unet,513696,0.9468950522119265,0.32056058270550053,0.1093996111931382
Cd,0.003960231484627925,unet,513696,0.9227118119116877,0.13998947778774956,0.00484797236845204
Ux,0.016412131211009196,pinn,513696,0.9957411126804062,0.05106595165831277,0.022836980200738682
Uy,0.005644951977509665,pinn,513696,0.9658661093641401,0.48836657554866436,0.010787414199447141
p,3.0094698366105637,pinn,513696,0.9655897617596034,6.69563069592755e-05,6.784166131894825
nut,7.407931281058448e-06,pinn,513696,0.07442043093626993,3.475830852888793,1.851829463321813e-05
k,0.00018120659611998787,pinn,513696,-0.014004479103174816,26.01328470778426,0.00103110913697046
omega,0.5224983398037645,pinn,513696,0.15443008007676895,6.339842612156321,2.9543866531041125
Cp,0.012954304898630687,pinn,513696,0.9643878473541801,1.5979717674766416,0.026756306135054732
cavitation_margin,3.0257589879276847,pinn,513696,0.9656015826725352,6.849973871637289e-05,6.783000767883025
Cl,0.030842842012973343,pinn,513696,0.9928822389532135,0.11735843995504423,0.040051610815514
Cd,0.0018810423922075016,pinn,513696,0.9812228918625763,0.06900065035815477,0.0023895599271306646
Ux,0.2731093886112976,fno,513696,0.12837488735944336,0.7305471015841097,0.3267047641883616
Uy,0.018958636266500715,fno,513696,0.7561904240679617,1.3052040592783414,0.028830344882667377
p,11.084153233989557,fno,513696,0.6138504973680192,0.00022429799521818186,22.72638578374129
nut,5.868904325650765e-06,fno,513696,0.10188799473778032,3.4238679364075306,1.82414501496606e-05
k,7.882882206119666e-05,fno,513696,0.03464673711405519,25.381564719701956,0.0010060691522459006
omega,0.39615382477608035,fno,513696,0.10227641475963034,6.532434016265995,3.0441348548517704
Cp,0.022574674876634702,fno,513696,0.9264144300028047,2.2970281530887853,0.038461248011868454
cavitation_margin,11.081540581029442,fno,513696,0.613807288348563,0.00022952062669610946,22.72765730641519
Cl,0.11966649734613005,fno,513696,0.9046372621108895,0.42956805896910144,0.14660123910301456
Cd,0.007413380417755332,fno,513696,0.686370213204665,0.2819989439019981,0.0097658989059332
Ux,0.013191724053590363,deeponet,513696,0.9968693908042592,0.04378222042934195,0.019579654713562898
Uy,0.004906819833671208,deeponet,513696,0.9683934283066302,0.46993926348430076,0.010380377645814384
p,2.912210997603641,deeponet,513696,0.9454027272892133,8.433990868485754e-05,8.545512410278608
nut,6.739665609493152e-06,deeponet,513696,0.0438154991617572,3.5328288962190544,1.882196492230296e-05
k,0.0001382547390897237,deeponet,513696,-0.038068431192649355,26.320143298322126,0.0010432723335838732
omega,0.5271211451233141,deeponet,513696,0.08768030152395034,6.58532540743962,3.068782409957924
Cp,0.014836009885508556,deeponet,513696,0.9455587693129984,1.9757589413898364,0.033081943098641674
cavitation_margin,2.904524727416604,deeponet,513696,0.9452459854567643,8.642266767083734e-05,8.55777017779593
Cl,0.022108825026060867,deeponet,513696,0.996373076528274,0.08377449562718098,0.028590218960060535
Cd,0.0015424330724101987,deeponet,513696,0.9882576712086723,0.054565224804486584,0.0018896470385553062
