AoA,Cp_mae,Cp_pred_min,Cp_rmse,Cp_truth_min,Re,U_inf,case,cavitation_margin_mae,cavitation_margin_pred_min,cavitation_margin_rmse,cavitation_margin_truth_min,model,naca,p_mae,p_pred_min,p_rmse,p_truth_min
-4.0,0.02858031541109085,-0.8559556007385254,0.04560075327754021,-1.133190631866455,100000.0,0.09999999999999999,case_129,3.7131705284118652,98929.375,5.576473236083984,99019.3515625,fno,0015,3.726304054260254,101229.2734375,5.593672275543213,101319.3515625
-4.0,0.028419267386198044,-0.8509994745254517,0.045530982315540314,-1.134426474571228,200000.0,0.19999999999999998,case_130,2.784470319747925,98929.5625,4.019595146179199,99002.3828125,fno,0015,2.7983763217926025,101229.4609375,4.035563945770264,101302.3828125
-4.0,0.03118213638663292,-0.8218908309936523,0.049750395119190216,-1.1429922580718994,500000.0,0.5,case_131,6.506707191467285,98931.2734375,10.558032035827637,98882.5546875,fno,0015,6.492665767669678,101231.1953125,10.542283058166504,101182.5546875
-4.0,0.04474662244319916,-0.6784797310829163,0.06888904422521591,-1.145838737487793,1000000.0,1.0,case_132,34.53471374511719,98945.171875,56.220455169677734,98453.796875,fno,0015,34.52766799926758,101245.0546875,56.206687927246094,100753.796875
-2.0,0.016679171472787857,-0.8098466396331787,0.027179578319191933,-0.8261761665344238,100000.0,0.09999999999999999,case_133,3.8324897289276123,98932.2734375,6.183104038238525,99020.8828125,fno,0015,3.8510522842407227,101232.1953125,6.201087474822998,101320.8828125
-2.0,0.016268355771899223,-0.7898714542388916,0.026722591370344162,-0.8269843459129333,200000.0,0.19999999999999998,case_134,3.2566301822662354,98934.21875,5.2220869064331055,99008.5078125,fno,0015,3.2733371257781982,101234.1328125,5.23856258392334,101308.5078125
-2.0,0.01885511353611946,-0.6899951100349426,0.0308191180229187,-0.8331705331802368,500000.0,0.5,case_135,2.767374277114868,98944.0625,4.41623067855835,98921.1640625,fno,0015,2.761052370071411,101243.953125,4.40441370010376,101221.1640625
-2.0,0.03879554942250252,-0.46033528447151184,0.057820551097393036,-0.8352230191230774,1000000.0,1.0,case_136,23.818721771240234,98951.71875,39.40925216674805,98608.640625,fno,0015,23.815570831298828,101251.7109375,39.39631271362305,100908.640625
0.0,0.019572235643863678,-0.6571112871170044,0.02999565377831459,-0.530697226524353,100000.0,0.09999999999999999,case_137,5.529312610626221,98947.1953125,9.589446067810059,99022.3515625,fno,0015,5.5368428230285645,101247.0859375,9.604344367980957,101322.3515625
0.0,0.016849063336849213,-0.6102035045623779,0.02556740492582321,-0.5310782194137573,200000.0,0.19999999999999998,case_138,5.342184066772461,98950.1171875,9.33321475982666,99014.4140625,fno,0015,5.34849214553833,101250.0703125,9.347973823547363,101314.4140625
0.0,0.01316787302494049,-0.4704001843929291,0.02052585408091545,-0.5350000858306885,500000.0,0.5,case_139,2.5539352893829346,98951.1875,4.239441871643066,98958.328125,fno,0015,2.5527353286743164,101251.171875,4.2417755126953125,101258.328125
0.0,0.03632006049156189,-0.6175348162651062,0.05113833397626877,-0.5363028049468994,1000000.0,1.0,case_140,18.87429428100586,98951.5390625,31.146360397338867,98757.65625,fno,0015,18.867124557495117,101251.6484375,31.128517150878906,101057.65625
2.0,0.022775795310735703,-0.454524427652359,0.03443647921085358,-0.6768000721931458,100000.0,0.09999999999999999,case_141,7.004072189331055,98952.78125,11.637660026550293,99021.625,fno,0015,7.0091352462768555,101252.7734375,11.653170585632324,101321.625
2.0,0.018699800595641136,-0.44184163212776184,0.028890373185276985,-0.685925304889679,200000.0,0.19999999999999998,case_142,6.3964152336120605,98954.421875,10.619340896606445,99011.3203125,fno,0015,6.402040481567383,101254.546875,10.634571075439453,101311.3203125
2.0,0.01048439834266901,-0.6033188104629517,0.017076358199119568,-0.6887551546096802,500000.0,0.5,case_143,2.9799203872680664,98954.359375,4.885435581207275,98939.1640625,fno,0015,2.972991943359375,101254.453125,4.881297588348389,101239.1640625
2.0,0.035838931798934937,-0.8770084381103516,0.04973442852497101,-0.6897013187408447,1000000.0,1.0,case_144,18.343223571777344,98900.6328125,31.182392120361328,98681.1875,fno,0015,18.31669807434082,101200.796875,31.159513473510742,100981.1875
4.0,0.023695707321166992,-0.6422622799873352,0.0395476259291172,-0.9815045595169067,100000.0,0.09999999999999999,case_145,7.257730484008789,98946.59375,11.415903091430664,99020.109375,fno,0015,7.2736406326293945,101246.71875,11.4384183883667,101320.109375
4.0,0.01861613802611828,-0.6933622360229492,0.03229964151978493,-0.9888177514076233,200000.0,0.19999999999999998,case_146,6.563809394836426,98936.359375,10.24644947052002,99005.28125,fno,0015,6.5827765464782715,101236.515625,10.26938533782959,101305.28125
4.0,0.01106723677366972,-0.8618253469467163,0.01812157966196537,-0.9932315349578857,500000.0,0.5,case_147,2.47310209274292,98903.5625,4.004011631011963,98901.21875,fno,0015,2.4759058952331543,101203.71875,4.0016679763793945,101201.21875
4.0,0.03226684406399727,-1.1889094114303589,0.04682266339659691,-0.993367075920105,1000000.0,1.0,case_148,20.996362686157227,98842.515625,36.88719940185547,98529.8046875,fno,0015,20.97460174560547,101142.6875,36.874996185302734,100829.8046875
6.0,0.02334916777908802,-0.9047781229019165,0.04066994786262512,-1.3091075420379639,100000.0,0.09999999999999999,case_149,8.46146297454834,98895.3828125,13.5468111038208,99018.4765625,fno,0015,8.491058349609375,101195.5390625,13.57229232788086,101318.4765625
6.0,0.019189147278666496,-0.9649253487586975,0.03420177474617958,-1.3227027654647827,200000.0,0.19999999999999998,case_150,7.839269161224365,98884.140625,12.500582695007324,98998.625,fno,0015,7.868339538574219,101184.296875,12.524394989013672,101298.625
6.0,0.010824641212821007,-1.1701337099075317,0.01863706484436989,-1.2974305152893066,500000.0,0.5,case_151,2.3459529876708984,98846.3046875,3.469970226287842,98863.3046875,fno,0015,2.3620920181274414,101146.4765625,3.48177170753479,101163.3046875
6.0,0.030360503122210503,-1.5097013711929321,0.046714406460523605,-1.2999804019927979,1000000.0,1.0,case_152,25.226383209228516,98758.4609375,43.992218017578125,98376.9609375,fno,0015,25.225749969482422,101058.6640625,43.9990234375,100676.9609375
8.0,0.022797830402851105,-1.2228281497955322,0.03898442164063454,-1.833695888519287,100000.0,0.09999999999999999,case_153,11.667057037353516,98835.5390625,19.047849655151367,99015.859375,fno,0015,11.683643341064453,101135.7109375,19.058895111083984,101315.859375
