AoA,Re,U_inf,ambient_pressure_Pa,case,fn,fp,min_pred_margin_Pa,min_truth_margin_Pa,model,naca,pred_risky_fraction,tn,tp,truth_risky_fraction
-4.0,100000.0,0.09999999999999999,2500.0,case_001,0,0,197.288818359375,192.9921875,fno,0006,0.0,8124,0,0.0
-4.0,100000.0,0.09999999999999999,3000.0,case_001,0,0,697.288818359375,692.9921875,fno,0006,0.0,8124,0,0.0
-4.0,100000.0,0.09999999999999999,5000.0,case_001,0,0,2697.28857421875,2692.9921875,fno,0006,0.0,8124,0,0.0
-4.0,100000.0,0.09999999999999999,10000.0,case_001,0,0,7697.2890625,7692.9921875,fno,0006,0.0,8124,0,0.0
-4.0,100000.0,0.09999999999999999,25000.0,case_001,0,0,22697.2890625,22692.9921875,fno,0006,0.0,8124,0,0.0
-4.0,100000.0,0.09999999999999999,101325.0,case_001,0,0,99022.2890625,99017.9921875,fno,0006,0.0,8124,0,0.0
-4.0,200000.0,0.19999999999999998,2500.0,case_002,0,0,189.409423828125,172.225830078125,fno,0006,0.0,8124,0,0.0
-4.0,200000.0,0.19999999999999998,3000.0,case_002,0,0,689.409423828125,672.225830078125,fno,0006,0.0,8124,0,0.0
-4.0,200000.0,0.19999999999999998,5000.0,case_002,0,0,2689.4091796875,2672.22607421875,fno,0006,0.0,8124,0,0.0
-4.0,200000.0,0.19999999999999998,10000.0,case_002,0,0,7689.4091796875,7672.2255859375,fno,0006,0.0,8124,0,0.0
-4.0,200000.0,0.19999999999999998,25000.0,case_002,0,0,22689.41015625,22672.2265625,fno,0006,0.0,8124,0,0.0
-4.0,200000.0,0.19999999999999998,101325.0,case_002,0,0,99014.40625,98997.2265625,fno,0006,0.0,8124,0,0.0
-4.0,500000.0,0.5,2500.0,case_003,0,0,140.165771484375,25.133056640625,fno,0006,0.0,8124,0,0.0
-4.0,500000.0,0.5,3000.0,case_003,0,0,640.165771484375,525.133056640625,fno,0006,0.0,8124,0,0.0
-4.0,500000.0,0.5,5000.0,case_003,0,0,2640.166015625,2525.13330078125,fno,0006,0.0,8124,0,0.0
-4.0,500000.0,0.5,10000.0,case_003,0,0,7640.166015625,7525.1328125,fno,0006,0.0,8124,0,0.0
-4.0,500000.0,0.5,25000.0,case_003,0,0,22640.166015625,22525.1328125,fno,0006,0.0,8124,0,0.0
-4.0,500000.0,0.5,101325.0,case_003,0,0,98965.1640625,98850.1328125,fno,0006,0.0,8124,0,0.0
-4.0,1000000.0,1.0,2500.0,case_004,52,0,21.6796875,-501.1776123046875,fno,0006,0.0,8072,0,0.006400787789266372
-4.0,1000000.0,1.0,3000.0,case_004,1,0,521.6796875,-1.177734375,fno,0006,0.0,8123,0,0.00012309207287050715
-4.0,1000000.0,1.0,5000.0,case_004,0,0,2521.6796875,1998.822265625,fno,0006,0.0,8124,0,0.0
-4.0,1000000.0,1.0,10000.0,case_004,0,0,7521.6796875,6998.822265625,fno,0006,0.0,8124,0,0.0
-4.0,1000000.0,1.0,25000.0,case_004,0,0,22521.6796875,21998.822265625,fno,0006,0.0,8124,0,0.0
-4.0,1000000.0,1.0,101325.0,case_004,0,0,98846.6796875,98323.8203125,fno,0006,0.0,8124,0,0.0
-2.0,100000.0,0.09999999999999999,2500.0,case_005,0,0,197.68798828125,196.37646484375,fno,0006,0.0,8124,0,0.0
-2.0,100000.0,0.09999999999999999,3000.0,case_005,0,0,697.68798828125,696.37646484375,fno,0006,0.0,8124,0,0.0
-2.0,100000.0,0.09999999999999999,5000.0,case_005,0,0,2697.68798828125,2696.37646484375,fno,0006,0.0,8124,0,0.0
-2.0,100000.0,0.09999999999999999,10000.0,case_005,0,0,7697.6875,7696.3759765625,fno,0006,0.0,8124,0,0.0
-2.0,100000.0,0.09999999999999999,25000.0,case_005,0,0,22697.6875,22696.376953125,fno,0006,0.0,8124,0,0.0
-2.0,100000.0,0.09999999999999999,101325.0,case_005,0,0,99022.6875,99021.375,fno,0006,0.0,8124,0,0.0
-2.0,200000.0,0.19999999999999998,2500.0,case_006,0,0,191.2373046875,185.85888671875,fno,0006,0.0,8124,0,0.0
-2.0,200000.0,0.19999999999999998,3000.0,case_006,0,0,691.2373046875,685.85888671875,fno,0006,0.0,8124,0,0.0
-2.0,200000.0,0.19999999999999998,5000.0,case_006,0,0,2691.2373046875,2685.85888671875,fno,0006,0.0,8124,0,0.0
-2.0,200000.0,0.19999999999999998,10000.0,case_006,0,0,7691.2373046875,7685.859375,fno,0006,0.0,8124,0,0.0
-2.0,200000.0,0.19999999999999998,25000.0,case_006,0,0,22691.23828125,22685.859375,fno,0006,0.0,8124,0,0.0
-2.0,200000.0,0.19999999999999998,101325.0,case_006,0,0,99016.234375,99010.859375,fno,0006,0.0,8124,0,0.0
-2.0,500000.0,0.5,2500.0,case_007,0,0,154.6025390625,110.822509765625,fno,0006,0.0,8124,0,0.0
-2.0,500000.0,0.5,3000.0,case_007,0,0,654.6025390625,610.822509765625,fno,0006,0.0,8124,0,0.0
-2.0,500000.0,0.5,5000.0,case_007,0,0,2654.6025390625,2610.822265625,fno,0006,0.0,8124,0,0.0
-2.0,500000.0,0.5,10000.0,case_007,0,0,7654.6025390625,7610.822265625,fno,0006,0.0,8124,0,0.0
-2.0,500000.0,0.5,25000.0,case_007,0,0,22654.6015625,22610.822265625,fno,0006,0.0,8124,0,0.0
-2.0,500000.0,0.5,101325.0,case_007,0,0,98979.6015625,98935.8203125,fno,0006,0.0,8124,0,0.0
-2.0,1000000.0,1.0,2500.0,case_008,6,0,77.8662109375,-157.775146484375,fno,0006,0.0,8118,0,0.0007385524372230429
-2.0,1000000.0,1.0,3000.0,case_008,0,0,577.8662109375,342.224853515625,fno,0006,0.0,8124,0,0.0
-2.0,1000000.0,1.0,5000.0,case_008,0,0,2577.8662109375,2342.22509765625,fno,0006,0.0,8124,0,0.0
-2.0,1000000.0,1.0,10000.0,case_008,0,0,7577.8662109375,7342.224609375,fno,0006,0.0,8124,0,0.0
-2.0,1000000.0,1.0,25000.0,case_008,0,0,22577.8671875,22342.224609375,fno,0006,0.0,8124,0,0.0
-2.0,1000000.0,1.0,101325.0,case_008,0,0,98902.8671875,98667.2265625,fno,0006,0.0,8124,0,0.0
0.0,100000.0,0.09999999999999999,2500.0,case_009,0,0,198.277099609375,198.991455078125,fno,0006,0.0,8124,0,0.0
0.0,100000.0,0.09999999999999999,3000.0,case_009,0,0,698.277099609375,698.991455078125,fno,0006,0.0,8124,0,0.0
0.0,100000.0,0.09999999999999999,5000.0,case_009,0,0,2698.27685546875,2698.9912109375,fno,0006,0.0,8124,0,0.0
