field,mae,model,n,r2,relative_rmse,rmse
Ux,0.2731093886112976,fno,513696,0.12837488735944336,0.7305471015841097,0.3267047641883616
Uy,0.018958636266500715,fno,513696,0.7561904240679617,1.3052040592783414,0.028830344882667377
p,11.084153233989557,fno,513696,0.6138504973680192,0.00022429799521818186,22.72638578374129
nut,5.868904325650765e-06,fno,513696,0.10188799473778032,3.4238679364075306,1.82414501496606e-05
k,7.882882206119666e-05,fno,513696,0.03464673711405519,25.381564719701956,0.0010060691522459006
omega,0.39615382477608035,fno,513696,0.10227641475963034,6.532434016265995,3.0441348548517704
Cp,0.022574674876634702,fno,513696,0.9264144300028047,2.2970281530887853,0.038461248011868454
cavitation_margin,11.081540581029442,fno,513696,0.613807288348563,0.00022952062669610946,22.72765730641519
Cl,0.11966649734613005,fno,513696,0.9046372621108895,0.42956805896910144,0.14660123910301456
Cd,0.007413380417755332,fno,513696,0.686370213204665,0.2819989439019981,0.0097658989059332
