AoA,Cd_grid_pressure,Cd_model_integrated_pressure,Cd_model_pressure,Cd_openfoam_total,Cl_grid_pressure,Cl_model_integrated_pressure,Cl_model_pressure,Cl_openfoam_total,L_over_D_model_pressure,L_over_D_openfoam_total,Re,U_inf,case,model,naca
-4.0,0.0164034682264881,0.40975896329025746,0.02745731547474861,0.03645932,-0.15523776526187846,-3.1934608457651206,-0.271077036857605,-0.5025718,-9.872670804503944,-13.784453467590728,100000.0,0.09999999999999999,case_129,unet,0015
-4.0,0.016030120096172426,0.10218290401485972,0.027390506118535995,0.03076995,-0.153169880069374,-0.794483029280016,-0.2698703110218048,-0.4967199,-9.852695304493672,-16.14301940692136,200000.0,0.19999999999999998,case_130,unet,0015
-4.0,0.01593246595199506,0.016222629647772827,0.027173152193427086,0.02776008,-0.15524684539579434,-0.12517360621641016,-0.26583659648895264,-0.5031136,-9.783060669466822,-18.12363653130683,500000.0,0.5,case_131,unet,0015
-4.0,0.01589955953811839,0.003999257359078722,0.026754194870591164,0.02673862,-0.15592915709319952,-0.030401547856650758,-0.2578941881656647,-0.5052323,-9.63939260415375,-18.895227203198967,1000000.0,1.0,case_132,unet,0015
-2.0,0.01276526244991929,0.27762527184363794,0.024335335940122604,0.03018319,-0.09441503165842306,-2.305519789099203,-0.17952173948287964,-0.2997562,-7.37699861323448,-9.931229932952746,100000.0,0.09999999999999999,case_133,unet,0015
-2.0,0.012372124149449097,0.06932121735679465,0.024232864379882812,0.02458656,-0.09216992930818564,-0.5671709801804048,-0.1752762794494629,-0.2942059,-7.2329988193624555,-11.966127022243047,200000.0,0.19999999999999998,case_134,unet,0015
-2.0,0.012244255672627314,0.011061240881820273,0.023904405534267426,0.02148271,-0.09361492132708457,-0.0861523315897633,-0.16164183616638184,-0.2985597,-6.762010288633413,-13.897673989920266,500000.0,0.5,case_135,unet,0015
-2.0,0.012201578314207298,0.0027614779548307336,0.023336945101618767,0.02043003,-0.09408774162721953,-0.01949359662749306,-0.13666391372680664,-0.3000004,-5.856118405031812,-14.684285828263592,1000000.0,1.0,case_136,unet,0015
0.0,0.010683966921180338,0.24400340210447985,0.021089650690555573,0.02752592,-0.030039161646165616,-0.7958262788106722,0.0068246424198150635,-0.08962498,0.32360149155392576,-3.2560212338043564,100000.0,0.09999999999999999,case_137,unet,0015
0.0,0.010423358840649242,0.061265431900346896,0.021006450057029724,0.02198823,-0.028664705591640468,-0.187310970235491,0.012839734554290771,-0.08417469,0.6112281951225741,-3.8281703438612382,200000.0,0.19999999999999998,case_138,unet,0015
0.0,0.010266516059770994,0.009918172236747451,0.02076764777302742,0.01884666,-0.029443176838739586,-0.02431876130794653,0.030917063355445862,-0.08638269,1.4887128139567296,-4.583448207799154,500000.0,0.5,case_139,unet,0015
0.0,0.010214020020378512,0.0025145677989391337,0.020419616252183914,0.01778157,-0.029702050464142857,-0.003686157854906136,0.06149721145629883,-0.08711132,3.0116732213183286,-4.898966739157454,1000000.0,1.0,case_140,unet,0015
