AoA,Re,U_inf,ambient_pressure_Pa,case,fn,fp,min_pred_margin_Pa,min_truth_margin_Pa,model,naca,pred_risky_fraction,tn,tp,truth_risky_fraction
-4.0,100000.0,0.09999999999999999,2500.0,case_001,0,0,195.79638671875,192.9921875,unet,0006,0.0,8124,0,0.0
-4.0,100000.0,0.09999999999999999,3000.0,case_001,0,0,695.79638671875,692.9921875,unet,0006,0.0,8124,0,0.0
-4.0,100000.0,0.09999999999999999,5000.0,case_001,0,0,2695.79638671875,2692.9921875,unet,0006,0.0,8124,0,0.0
-4.0,100000.0,0.09999999999999999,10000.0,case_001,0,0,7695.7958984375,7692.9921875,unet,0006,0.0,8124,0,0.0
-4.0,100000.0,0.09999999999999999,25000.0,case_001,0,0,22695.796875,22692.9921875,unet,0006,0.0,8124,0,0.0
-4.0,100000.0,0.09999999999999999,101325.0,case_001,0,0,99020.796875,99017.9921875,unet,0006,0.0,8124,0,0.0
-4.0,200000.0,0.19999999999999998,2500.0,case_002,0,0,183.1875,172.225830078125,unet,0006,0.0,8124,0,0.0
-4.0,200000.0,0.19999999999999998,3000.0,case_002,0,0,683.1875,672.225830078125,unet,0006,0.0,8124,0,0.0
-4.0,200000.0,0.19999999999999998,5000.0,case_002,0,0,2683.1875,2672.22607421875,unet,0006,0.0,8124,0,0.0
-4.0,200000.0,0.19999999999999998,10000.0,case_002,0,0,7683.1875,7672.2255859375,unet,0006,0.0,8124,0,0.0
-4.0,200000.0,0.19999999999999998,25000.0,case_002,0,0,22683.1875,22672.2265625,unet,0006,0.0,8124,0,0.0
-4.0,200000.0,0.19999999999999998,101325.0,case_002,0,0,99008.1875,98997.2265625,unet,0006,0.0,8124,0,0.0
-4.0,500000.0,0.5,2500.0,case_003,0,0,94.974609375,25.133056640625,unet,0006,0.0,8124,0,0.0
-4.0,500000.0,0.5,3000.0,case_003,0,0,594.974609375,525.133056640625,unet,0006,0.0,8124,0,0.0
-4.0,500000.0,0.5,5000.0,case_003,0,0,2594.974609375,2525.13330078125,unet,0006,0.0,8124,0,0.0
-4.0,500000.0,0.5,10000.0,case_003,0,0,7594.974609375,7525.1328125,unet,0006,0.0,8124,0,0.0
-4.0,500000.0,0.5,25000.0,case_003,0,0,22594.974609375,22525.1328125,unet,0006,0.0,8124,0,0.0
-4.0,500000.0,0.5,101325.0,case_003,0,0,98919.9765625,98850.1328125,unet,0006,0.0,8124,0,0.0
-4.0,1000000.0,1.0,2500.0,case_004,12,3,-219.534912109375,-501.1776123046875,unet,0006,0.005292959133431807,8069,40,0.006400787789266372
-4.0,1000000.0,1.0,3000.0,case_004,1,0,280.465087890625,-1.177734375,unet,0006,0.0,8123,0,0.00012309207287050715
-4.0,1000000.0,1.0,5000.0,case_004,0,0,2280.46484375,1998.822265625,unet,0006,0.0,8124,0,0.0
-4.0,1000000.0,1.0,10000.0,case_004,0,0,7280.46484375,6998.822265625,unet,0006,0.0,8124,0,0.0
-4.0,1000000.0,1.0,25000.0,case_004,0,0,22280.46484375,21998.822265625,unet,0006,0.0,8124,0,0.0
-4.0,1000000.0,1.0,101325.0,case_004,0,0,98605.46875,98323.8203125,unet,0006,0.0,8124,0,0.0
-2.0,100000.0,0.09999999999999999,2500.0,case_005,0,0,196.067138671875,196.37646484375,unet,0006,0.0,8124,0,0.0
