field,mae,model,n,r2,relative_rmse,rmse
Ux,0.298213591585701,unet,513696,-0.001181283138765865,0.7829602533977903,0.3501442198600447
Uy,0.02615368313873778,unet,513696,0.5491119995194862,1.7749551147025866,0.03920656524499607
p,13.669294923456675,unet,513696,0.39168464523632096,0.000281521806963159,28.524433244965845
nut,6.419643002149566e-06,unet,513696,0.08099404800236942,3.46346590047025,1.845241748277452e-05
k,0.00012653162821950502,unet,513696,0.010635146623079073,25.69528840696409,0.0010185044661270134
omega,0.5288442295977376,unet,513696,0.08842504244016225,6.582637006338988,3.067529606565823
Cp,0.019938331719011222,unet,513696,0.9569854804185686,1.7562143736659355,0.02940590714865433
cavitation_margin,13.661424509826823,unet,513696,0.39184233207309405,0.00028802340335976783,28.52073603151746
Cl,0.0867650246655556,unet,513696,0.9468950522119265,0.32056058270550053,0.1093996111931382
Cd,0.003960231484627925,unet,513696,0.9227118119116877,0.13998947778774956,0.00484797236845204
