AoA,Cd_grid_pressure,Cd_model_integrated_pressure,Cd_model_pressure,Cd_openfoam_total,Cl_grid_pressure,Cl_model_integrated_pressure,Cl_model_pressure,Cl_openfoam_total,L_over_D_model_pressure,L_over_D_openfoam_total,Re,U_inf,case,model,naca
-4.0,0.014729634125007324,0.24689322007401782,0.021725695580244064,0.03055369,-0.23739448819051023,-3.59644517441553,-0.27991414070129395,-0.4695631,-12.884012834821716,-15.368457950578145,100000.0,0.09999999999999999,case_001,unet,0006
-4.0,0.014157268737397198,0.061600757677779686,0.021689776331186295,0.02561826,-0.22967837926528342,-0.8958710990552442,-0.27907052636146545,-0.456578,-12.866454780366196,-17.822365765668707,200000.0,0.19999999999999998,case_002,unet,0006
-4.0,0.014117520171714961,0.009790946179333277,0.02157559059560299,0.02294054,-0.23094041372456667,-0.1416791634360011,-0.27643734216690063,-0.4593368,-12.812504062958878,-20.022928841256572,500000.0,0.5,case_003,unet,0006
-4.0,0.014105000179260417,0.0024145218052525307,0.02136397361755371,0.02202942,-0.23136888689124374,-0.034643889534836096,-0.2714371681213379,-0.4602652,-12.705369000189718,-20.893205540590717,1000000.0,1.0,case_004,unet,0006
-2.0,0.0076237275462381305,0.10518005039164771,0.0187649168074131,0.01950764,-0.1351466855892897,-2.5046602632480237,-0.19513601064682007,-0.2673035,-10.398980856111836,-13.702503224377732,100000.0,0.09999999999999999,case_005,unet,0006
-2.0,0.0072358732135409665,0.02611885358048804,0.018621616065502167,0.01461151,-0.12610651021180214,-0.6147583923605132,-0.19186776876449585,-0.2512893,-10.30349718786997,-17.198037711365902,200000.0,0.19999999999999998,case_006,unet,0006
-2.0,0.007167699621027662,0.0040758737288508,0.018155675381422043,0.01177091,-0.1269542824832864,-0.09237797133761945,-0.18109369277954102,-0.2531204,-9.97449497058351,-21.503893921540477,500000.0,0.5,case_007,unet,0006
-2.0,0.0071451795448632515,0.0009610665747342256,0.01729254424571991,0.01080532,-0.12724091756833503,-0.0203400142194855,-0.1605813205242157,-0.253738,-9.286159297464934,-23.48269185919529,1000000.0,1.0,case_008,unet,0006
0.0,0.005083854888971317,0.03543558499482115,0.012827688828110695,0.01632171,-0.017727678733466857,-0.27939942986430705,0.013430356979370117,-0.03385765,1.0469818187309572,-2.0743935531264803,100000.0,0.09999999999999999,case_009,unet,0006
0.0,0.004936194627345643,0.009035186710750272,0.012739676982164383,0.01168694,-0.018315231121128504,-0.058292120665431324,0.018784567713737488,-0.03503927,1.4744932497139436,-2.9981560613813367,200000.0,0.19999999999999998,case_010,unet,0006
