naca,Re,reference_case,reference_AoA,case,AoA,max_abs_pressure_difference_Pa,exact_duplicate_across_AoA
0006,100000.0,case_001,-4.0,case_005,-2.0,0.0,True
0006,100000.0,case_001,-4.0,case_009,0.0,0.0,True
0006,100000.0,case_001,-4.0,case_013,2.0,0.0,True
0006,100000.0,case_001,-4.0,case_017,4.0,0.0,True
0006,100000.0,case_001,-4.0,case_021,6.0,0.0,True
0006,100000.0,case_001,-4.0,case_025,8.0,0.0,True
0006,100000.0,case_001,-4.0,case_029,10.0,0.0,True
0006,200000.0,case_002,-4.0,case_006,-2.0,0.0,True
0006,200000.0,case_002,-4.0,case_010,0.0,0.0,True
0006,200000.0,case_002,-4.0,case_014,2.0,0.0,True
0006,200000.0,case_002,-4.0,case_018,4.0,0.0,True
0006,200000.0,case_002,-4.0,case_022,6.0,0.0,True
0006,200000.0,case_002,-4.0,case_026,8.0,0.0,True
0006,200000.0,case_002,-4.0,case_030,10.0,0.0,True
0006,500000.0,case_003,-4.0,case_007,-2.0,0.0,True
0006,500000.0,case_003,-4.0,case_011,0.0,0.0,True
0006,500000.0,case_003,-4.0,case_015,2.0,0.0,True
0006,500000.0,case_003,-4.0,case_019,4.0,0.0,True
0006,500000.0,case_003,-4.0,case_023,6.0,0.0,True
0006,500000.0,case_003,-4.0,case_027,8.0,0.0,True
0006,500000.0,case_003,-4.0,case_031,10.0,0.0,True
0006,1000000.0,case_004,-4.0,case_008,-2.0,0.0,True
0006,1000000.0,case_004,-4.0,case_012,0.0,0.0,True
0006,1000000.0,case_004,-4.0,case_016,2.0,0.0,True
0006,1000000.0,case_004,-4.0,case_020,4.0,0.0,True
0006,1000000.0,case_004,-4.0,case_024,6.0,0.0,True
0006,1000000.0,case_004,-4.0,case_028,8.0,0.0,True
0006,1000000.0,case_004,-4.0,case_032,10.0,0.0,True
0008,100000.0,case_033,-4.0,case_037,-2.0,0.0,True
0008,100000.0,case_033,-4.0,case_041,0.0,0.0,True
0008,100000.0,case_033,-4.0,case_045,2.0,0.0,True
0008,100000.0,case_033,-4.0,case_049,4.0,0.0,True
0008,100000.0,case_033,-4.0,case_053,6.0,0.0,True
0008,100000.0,case_033,-4.0,case_057,8.0,0.0,True
0008,100000.0,case_033,-4.0,case_061,10.0,0.0,True
0008,200000.0,case_034,-4.0,case_038,-2.0,0.0,True
0008,200000.0,case_034,-4.0,case_042,0.0,0.0,True
0008,200000.0,case_034,-4.0,case_046,2.0,0.0,True
0008,200000.0,case_034,-4.0,case_050,4.0,0.0,True
0008,200000.0,case_034,-4.0,case_054,6.0,0.0,True
0008,200000.0,case_034,-4.0,case_058,8.0,0.0,True
0008,200000.0,case_034,-4.0,case_062,10.0,0.0,True
0008,500000.0,case_035,-4.0,case_039,-2.0,0.0,True
0008,500000.0,case_035,-4.0,case_043,0.0,0.0,True
0008,500000.0,case_035,-4.0,case_047,2.0,0.0,True
0008,500000.0,case_035,-4.0,case_051,4.0,0.0,True
