field,mae,model,n,r2,relative_rmse,rmse
Ux,0.012675496222365816,dnn,465398,0.9974170333521093,0.03851485245051519,0.017467822434688047
Uy,0.005307458963675371,dnn,465398,0.8982231028803576,43.365035433166994,0.008261829446546276
p,3.0311548529430725,dnn,465398,0.9376904433507083,6.027034921284344e-05,6.1067805464055605
nut,1.119958094664146e-05,dnn,465398,0.3142593019398707,3.0408131846725497,3.066178065930838e-05
k,0.00024509644215575996,dnn,465398,0.654612883931329,14.094233806979984,0.002418634579515468
omega,0.6754842007471633,dnn,465398,0.6725090006440743,4.798029374050281,4.063090955449509
Rxx,0.00016340849606179606,dnn,465398,0.6546794657495616,14.092875282206391,0.0016122676408774504
Rxy,1.154329680773471e-11,dnn,465398,nan,31.749421688239643,3.174942168823964e-11
Ryy,0.00016339292194551616,dnn,465398,0.6545889367134048,14.094722451261958,0.0016124789626152708
Cp,0.01730693448452959,dnn,465398,0.9403363221709583,2.0341979960776584,0.022961946708628694
cavitation_margin,3.03115424862161,dnn,465398,0.9376904629295392,6.167023233238481e-05,6.106779554087164
cavitation_indicator,6.698350444869471e-08,dnn,465398,nan,974654.5061755539,9.746545061755538e-07
Ux,0.021583449592072368,pinn,465398,0.9943719946425118,0.056852044891338535,0.02578437568952783
Uy,0.005796110212504614,pinn,465398,0.8784824479836162,47.38431518394555,0.009027575478278836
p,3.4310976169858916,pinn,465398,0.9247110311461879,6.62509410986775e-05,6.71275284723669
nut,1.2418799542464671e-05,pinn,465398,0.2826394064256764,3.110129947552894,3.1360730331772155e-05
k,0.0003339435514280555,pinn,465398,0.6257582012894405,14.671163296757458,0.002517638302103564
omega,0.9381482244032646,pinn,465398,0.633990779739051,5.072350213544212,4.29539268496106
Rxx,0.0002224276036780172,pinn,465398,0.6258002821726942,14.670338485284377,0.00167833118131732
Rxy,8.28105264701776e-10,pinn,465398,nan,4061.101012796556,4.061101012796556e-09
Ryy,0.0002225323003351128,pinn,465398,0.6261953500161019,14.662592208005337,0.0016774449837214306
Cp,0.020056339582598216,pinn,465398,0.922139602872145,2.3237880762557332,0.026230828106220346
cavitation_margin,3.435175057826849,pinn,465398,0.9247260324495281,6.778299058167579e-05,6.712084020829787
cavitation_indicator,7.300533848933445e-09,pinn,465398,nan,439257.7925784227,4.3925779257842267e-07
Ux,0.02198473774926236,fno,465398,0.991905890823439,0.06817943033544284,0.030921738161345823
Uy,0.0011384150978828935,fno,465398,0.9928971182054729,11.455983937113535,0.0021825736906562363
p,0.7176590486798397,fno,465398,0.9957372085329548,1.5764253904278906e-05,1.5972835785516522
nut,1.1674823787550916e-06,fno,465398,0.99600471321934,0.23210460456730478,2.3404070039983636e-06
k,8.577572845028475e-05,fno,465398,0.9966522301435629,1.3876061066012888,0.0002381195145571257
omega,0.15691472336418275,fno,465398,0.9961591359807968,0.5196102195761511,0.4400188950358159
Rxx,5.765197982992172e-05,fno,465398,0.9966412145572401,1.389887143237208,0.00015900730125258867
Rxy,2.8932562587807163e-10,fno,465398,nan,572.4517021121499,5.724517021121498e-10
Ryy,5.709050426184754e-05,fno,465398,0.9966540669424812,1.3872253944270763,0.00015870278912225445
Cp,0.0037935199010481983,fno,465398,0.9955839204341898,0.5534223019741489,0.006247009106193167
cavitation_margin,0.717659871228497,fno,465398,0.9957390823813992,1.6126862793158808e-05,1.5969324624242556
cavitation_indicator,7.159718272288901e-06,fno,465398,nan,64675404.84367817,6.467540484367817e-05
Ux,0.007589476405782762,deeponet,465398,0.9990352342837435,0.023538553463623445,0.010675551017630491
Uy,0.00581329451247877,deeponet,465398,0.8811598406191294,46.85939910592411,0.00892756940040887
p,3.311569966055935,deeponet,465398,0.9282867015040785,6.465858951897575e-05,6.551410798004153
nut,1.1701852035797661e-05,deeponet,465398,0.2562223290744756,3.1668780883155683,3.19329453740047e-05
k,0.00022150243307217864,deeponet,465398,0.668957579037238,13.79844763613224,0.0023678763282510016
omega,0.6587905061271527,deeponet,465398,0.6571845841762558,4.909004042923779,4.1570670731912145
Rxx,0.00014695451309743192,deeponet,465398,0.6694966136670493,13.78720913351578,0.0015772985071430639
Rxy,1.2392998819380542e-10,deeponet,465398,nan,217.91802939792856,2.1791802939792855e-10
Ryy,0.00014790986399569248,deeponet,465398,0.669131004958075,13.794832853386843,0.0015781706838000694
Cp,0.019729308620674676,deeponet,465398,0.9264207913480826,2.258997592168882,0.025499475678532797
cavitation_margin,3.3081887706865953,deeponet,465398,0.9282493388540265,6.617764005691569e-05,6.553117183978744
cavitation_indicator,2.4370324217525294e-08,deeponet,465398,nan,1245325.0826100614,1.2453250826100614e-06
