model,metric,n_seeds,mean,std,minimum,maximum
deeponet,Cd_mae,3,0.0027652471613444393,0.0007855349886767422,0.0018738417910100526,0.003356251490479038
deeponet,Cd_pearson_r,3,0.9845005020049845,0.004773927186448079,0.9802869658575829,0.9896854132904955
deeponet,Cd_rmse,3,0.0033851029796110946,0.0008940583799309435,0.002394638152095162,0.004132476139412057
deeponet,Cl_mae,3,0.024521623024169215,0.005792077149770342,0.01786433052280665,0.028405697148087033
deeponet,Cl_pearson_r,3,0.998658076513211,0.0006382813594097851,0.9982275064225253,0.9993913964430212
deeponet,Cl_rmse,3,0.03043835336348973,0.008143913388877442,0.021303831115606915,0.036940479537696316
deeponet,Cp_mae,3,0.01984679972154498,0.002585412052952352,0.018173737185894764,0.022824592719613273
deeponet,Cp_r2,3,0.942193865443577,0.012970512225795637,0.927588814903472,0.9523692919371748
deeponet,Cp_rmse,3,0.04107536868213061,0.004537147669696947,0.03743666777306556,0.04615901090478273
deeponet,cavitation_f1,3,0.9002804914824623,0.007930969266836332,0.8955089144662605,0.9094356457729199
deeponet,cavitation_precision,3,0.9551327570938272,0.0013130880746974952,0.9536169190098533,0.9559202813599063
deeponet,cavitation_recall,3,0.8514500460894845,0.013704122686682703,0.8430121250797703,0.8672622846202935
deeponet,inference_seconds,3,0.013253447216508599,5.293785249463455e-05,0.013197412499721395,0.013302618749730755
deeponet,p_mae,3,3.7787213288517822,0.5475280313105481,3.2277594704207826,4.322749680297507
deeponet,p_r2,3,0.9408212595351687,0.016356135983395956,0.9232665404188901,0.9556316168447382
deeponet,p_rmse,3,10.742581897707515,1.4834555365426911,9.360644691151352,12.31009342449304
deeponet,parameter_count,3,100746.0,0.0,100746.0,100746.0
deeponet,speedup_vs_openfoam,3,384.055113885877,1.5352033239225582,382.6314273723752,385.68166298563847
deeponet,training_seconds,3,47.10872031933104,4.5343044995427615,42.63939733299776,51.70532620800077
fno,Cd_mae,3,0.008243624739464,0.0006722300350343841,0.007467440990540013,0.008638594908195584
fno,Cd_pearson_r,3,0.7162912325007641,0.028571479996571947,0.6947796942978336,0.748709636767472
fno,Cd_rmse,3,0.010314814504956063,0.0005362089036391881,0.009697269301331019,0.010662296659229405
fno,Cl_mae,3,0.2029783571050793,0.012494835174777744,0.18929086968649628,0.2137731034933704
fno,Cl_pearson_r,3,0.8857663258314891,0.017828799247166894,0.8730025838699806,0.9061368082855382
fno,Cl_rmse,3,0.24810175394133202,0.020356176696714027,0.22505829723626247,0.2636388598625436
fno,Cp_mae,3,0.03959669029011345,0.0024899935694830365,0.036787307270648946,0.041531092346772276
fno,Cp_r2,3,0.8591031346991067,0.01736018372987753,0.8444516179346195,0.8782769212510529
fno,Cp_rmse,3,0.06430421530798751,0.004019499611456568,0.059846689354698945,0.06765289966951497
fno,cavitation_f1,3,0.7238433255562141,0.06546352922033986,0.6599953455899464,0.7908108634284046
fno,cavitation_precision,3,0.6155025229898615,0.10587334356393485,0.5194139194139195,0.7290021536252692
fno,cavitation_recall,3,0.8918669786570234,0.02408664680770011,0.8640714741544352,0.906615613699213
fno,inference_seconds,3,0.010977776400007619,0.00013251907769644715,0.010835404200042831,0.011097531249833991
fno,p_mae,3,13.665416606441738,0.4887840098639651,13.101205238588703,13.960130128713939
fno,p_r2,3,0.6085950958460672,0.030202761230005655,0.5774713483441647,0.6377838196363744
fno,p_rmse,3,27.788617198668508,1.0715645168409518,26.745633101931283,28.886640810975738
fno,parameter_count,3,595914.0,0.0,595914.0,595914.0
fno,speedup_vs_openfoam,3,463.70921188893635,5.61488019384713,458.6605692212979,469.75635666456077
fno,training_seconds,3,270.11792095833033,85.78903329909316,207.12380245799432,367.82346916699316
pinn,Cd_mae,3,0.0027897869552152357,0.0002673885464212885,0.0025118242130723603,0.00304516922938712
pinn,Cd_pearson_r,3,0.9869546834408013,0.0031648947417000045,0.9845495261848278,0.9905401117611877
