AoA,Cp_mae,Cp_pred_min,Cp_rmse,Cp_truth_min,Re,U_inf,case,cavitation_margin_mae,cavitation_margin_pred_min,cavitation_margin_rmse,cavitation_margin_truth_min,model,naca,p_mae,p_pred_min,p_rmse,p_truth_min
-4.0,0.03866100683808327,-0.709624171257019,0.06068111211061478,-1.2189357280731201,100000.0,0.09999999999999999,case_161,6.901462554931641,98918.296875,11.425493240356445,99018.921875,unet,0018,7.0208516120910645,101221.4921875,11.480740547180176,101318.921875
-4.0,0.04044776037335396,-0.7092870473861694,0.06265485286712646,-1.2355269193649292,200000.0,0.19999999999999998,case_162,5.72564697265625,98918.2734375,9.395073890686035,99000.3671875,unet,0018,5.851639747619629,101221.5,9.457488059997559,101300.3671875
-4.0,0.04124892130494118,-0.7060292959213257,0.0625649243593216,-1.2327896356582642,500000.0,0.5,case_163,4.842880725860596,98918.515625,7.083109378814697,98871.3671875,unet,0018,4.880042552947998,101221.8671875,7.129233360290527,101171.3671875
-4.0,0.04690701141953468,-0.6908941864967346,0.06772319972515106,-1.2370320558547974,1000000.0,1.0,case_164,36.684940338134766,98920.4375,60.27599334716797,98408.3359375,unet,0018,36.697662353515625,101223.96875,60.27971649169922,100708.3359375
-2.0,0.02485114336013794,-0.6897361874580383,0.03927118703722954,-0.8769860863685608,100000.0,0.09999999999999999,case_165,7.127064228057861,98920.6015625,11.709264755249023,99020.625,unet,0018,7.2403154373168945,101224.125,11.777255058288574,101320.625
-2.0,0.025250891223549843,-0.6848615407943726,0.03949178010225296,-0.8815358877182007,200000.0,0.19999999999999998,case_166,6.163868427276611,98921.2890625,10.073833465576172,99007.421875,unet,0018,6.282284259796143,101224.8359375,10.152238845825195,101307.421875
-2.0,0.02848086878657341,-0.6658605337142944,0.04237307608127594,-0.8891746997833252,500000.0,0.5,case_167,3.2225875854492188,98924.1484375,4.652505874633789,98914.1875,unet,0018,3.340791702270508,101227.6640625,4.804375171661377,101214.1875
-2.0,0.0390557162463665,-0.6295537352561951,0.05373718589544296,-0.8917175531387329,1000000.0,1.0,case_168,28.5949764251709,98932.765625,47.34589767456055,98580.4765625,unet,0018,28.59749412536621,101235.4609375,47.345611572265625,100880.4765625
0.0,0.021261321380734444,-0.6301124095916748,0.03456839546561241,-0.6464337706565857,100000.0,0.09999999999999999,case_169,7.358344554901123,98933.2421875,11.903131484985352,99021.78125,unet,0018,7.471363544464111,101235.8828125,12.026873588562012,101321.78125
0.0,0.02187756635248661,-0.6319617033004761,0.034337420016527176,-0.6505343914031982,200000.0,0.19999999999999998,case_170,6.500433444976807,98936.0,10.50629997253418,99012.03125,unet,0018,6.614212512969971,101238.3125,10.6472749710083,101312.03125
0.0,0.025918807834386826,-0.5866087675094604,0.03789651021361351,-0.6558327674865723,500000.0,0.5,case_171,3.0853757858276367,98947.1171875,4.572811603546143,98943.265625,unet,0018,3.224144220352173,101242.6875,4.7420244216918945,101243.265625
0.0,0.041175149381160736,-0.5981425046920776,0.05713551864027977,-0.6576074957847595,1000000.0,1.0,case_172,24.538053512573242,98947.5703125,40.38987731933594,98697.1796875,unet,0018,24.4815673828125,101244.40625,40.25785446166992,100997.1796875
2.0,0.019280798733234406,-0.6003130674362183,0.03143130615353584,-0.762477457523346,100000.0,0.09999999999999999,case_173,7.590197563171387,98947.140625,12.505993843078613,99021.1953125,unet,0018,7.7348504066467285,101244.03125,12.713120460510254,101321.1953125
2.0,0.02045786939561367,-0.626800537109375,0.032670535147190094,-0.7658236622810364,200000.0,0.19999999999999998,case_174,6.763511657714844,98942.6640625,11.300224304199219,99009.7265625,unet,0018,6.9164628982543945,101239.8125,11.513824462890625,101309.7265625
2.0,0.026880910620093346,-0.7117593288421631,0.04062974080443382,-0.7655248045921326,500000.0,0.5,case_175,3.6811578273773193,98927.7890625,5.502077579498291,98929.59375,unet,0018,3.7503058910369873,101227.4453125,5.581928253173828,101229.59375
2.0,0.039954617619514465,-0.8768120408058167,0.05885513499379158,-0.7659021019935608,1000000.0,1.0,case_176,23.592138290405273,98904.4375,38.584510803222656,98643.1953125,unet,0018,23.46330451965332,101205.546875,38.40325927734375,100943.1953125
4.0,0.018419330939650536,-0.8760432004928589,0.032106973230838776,-1.0903304815292358,100000.0,0.09999999999999999,case_177,9.131610870361328,98904.5390625,15.744609832763672,99019.5625,unet,0018,9.345772743225098,101205.6484375,15.989808082580566,101319.5625
4.0,0.019194256514310837,-0.9050321578979492,0.03330426290631294,-1.0976961851119995,200000.0,0.19999999999999998,case_178,8.428406715393066,98899.9609375,14.447007179260254,99003.109375,unet,0018,8.655858039855957,101201.2578125,14.695651054382324,101303.109375
4.0,0.02319268137216568,-0.9878424406051636,0.03852533921599388,-1.1016205549240112,500000.0,0.5,case_179,3.674039363861084,98886.84375,5.710263729095459,98887.7109375,unet,0018,3.790853500366211,101188.671875,5.902243137359619,101187.7109375
4.0,0.03431839868426323,-1.1176799535751343,0.052597347646951675,-1.1029187440872192,1000000.0,1.0,case_180,25.046342849731445,98866.140625,42.42606735229492,98475.1953125,unet,0018,24.89324378967285,101168.8359375,42.26182174682617,100775.1953125
6.0,0.017849046736955643,-1.1151214838027954,0.032733168452978134,-1.4616591930389404,100000.0,0.09999999999999999,case_181,12.122200965881348,98866.5234375,20.22004508972168,99017.7109375,unet,0018,12.396492958068848,101169.21875,20.458986282348633,101317.7109375
6.0,0.01847616583108902,-1.1402373313903809,0.03327646479010582,-1.4717822074890137,200000.0,0.19999999999999998,case_182,11.233452796936035,98862.5,18.576448440551758,98995.65625,unet,0018,11.508407592773438,101165.359375,18.808589935302734,101295.65625
6.0,0.02126811444759369,-1.21533203125,0.03620082139968872,-1.4788645505905151,500000.0,0.5,case_183,4.022459983825684,98850.3671875,6.247397422790527,98840.6953125,unet,0018,4.200913429260254,101153.75,6.468987941741943,101140.6953125
6.0,0.03201945126056671,-1.3435498476028442,0.04899602010846138,-1.481337547302246,1000000.0,1.0,case_184,29.1907901763916,98829.2109375,50.70970916748047,98286.5546875,unet,0018,29.069828033447266,101133.5390625,50.69022750854492,100586.5546875
8.0,0.01882847212255001,-1.340560793876648,0.03595203161239624,-2.0007224082946777,100000.0,0.09999999999999999,case_185,15.885619163513184,98829.6796875,25.532899856567383,99015.0234375,unet,0018,16.064258575439453,101134.0,25.602357864379883,101315.0234375
8.0,0.019967252388596535,-1.3669466972351074,0.03531339764595032,-1.9146363735198975,200000.0,0.19999999999999998,case_186,14.774147987365723,98825.2421875,23.537445068359375,98986.8203125,unet,0018,14.934316635131836,101129.7734375,23.57890510559082,101286.8203125
8.0,0.023051442578434944,-1.4482948780059814,0.03769029304385185,-1.926788330078125,500000.0,0.5,case_187,5.39669942855835,98811.3984375,7.968634605407715,98784.875,unet,0018,5.465587615966797,101116.5859375,7.978089332580566,101084.875
8.0,0.03579426929354668,-1.5939637422561646,0.05294689163565636,-1.9319795370101929,1000000.0,1.0,case_188,34.5369987487793,98786.6640625,60.0626106262207,98061.90625,unet,0018,34.59414291381836,101093.03125,60.36261749267578,100361.90625
10.0,0.02153591811656952,-1.5898644924163818,0.03890693932771683,-2.61169171333313,100000.0,0.09999999999999999,case_189,20.783693313598633,98787.1640625,32.20970153808594,99011.984375,unet,0018,20.72205352783203,101093.546875,31.92779541015625,101311.984375
10.0,0.02222461998462677,-1.6252458095550537,0.0391695462167263,-2.6467180252075195,200000.0,0.19999999999999998,case_190,19.4267520904541,98782.109375,29.81484031677246,98972.2265625,unet,0018,19.331148147583008,101088.75,29.487442016601562,101272.2265625
10.0,0.029654446989297867,-1.7304567098617554,0.04563414677977562,-2.563192129135132,500000.0,0.5,case_191,8.246089935302734,98765.7578125,11.453533172607422,98705.5625,unet,0018,8.040643692016602,101073.796875,11.058618545532227,101005.5625
10.0,0.04733188450336456,-1.897038459777832,0.06487742811441422,-2.571063995361328,1000000.0,1.0,case_192,38.64766311645508,98737.21875,68.12861633300781,97743.328125,unet,0018,38.98697280883789,101047.7578125,68.87644958496094,100043.328125
-4.0,0.015754221007227898,-0.7961279153823853,0.023395109921693802,-0.9701445698738098,100000.0,0.09999999999999999,case_321,8.038179397583008,98905.890625,13.521933555603027,99020.1640625,unet,4418,8.25183391571045,101206.984375,13.766401290893555,101320.1640625
-4.0,0.015515199862420559,-0.796938955783844,0.02300095744431019,-0.9725756049156189,200000.0,0.19999999999999998,case_322,7.126645565032959,98905.8984375,11.995875358581543,99005.609375,unet,4418,7.339794158935547,101206.953125,12.240964889526367,101305.609375
-4.0,0.01704324595630169,-0.7962018251419067,0.024296388030052185,-0.9761890172958374,500000.0,0.5,case_323,2.0356435775756836,98906.546875,2.9221549034118652,98903.34375,unet,4418,1.9701958894729614,101207.421875,2.969130516052246,101203.34375
-4.0,0.02353767119348049,-0.7777101397514343,0.032604437321424484,-0.97740238904953,1000000.0,1.0,case_324,24.6954345703125,98910.8125,41.61261749267578,98537.765625,unet,4418,24.52372169494629,101211.0859375,41.38418960571289,100837.765625
-2.0,0.017299823462963104,-0.7757951617240906,0.026756256818771362,-0.7195397615432739,100000.0,0.09999999999999999,case_325,8.700848579406738,98911.1484375,14.564995765686035,99021.4140625,unet,4418,8.911108016967773,101211.40625,14.822012901306152,101321.4140625
-2.0,0.016147442162036896,-0.7675936222076416,0.024875521659851074,-0.7247242331504822,200000.0,0.19999999999999998,case_326,7.825972557067871,98912.765625,13.060364723205566,99010.546875,unet,4418,8.02840805053711,101212.84375,13.310432434082031,101310.546875
-2.0,0.013780098408460617,-0.7284464836120605,0.020035067573189735,-0.727631688117981,500000.0,0.5,case_327,2.045921802520752,98919.984375,3.0481643676757812,98934.3203125,unet,4418,2.040203809738159,101219.3671875,3.099665641784668,101234.3203125
-2.0,0.01881551183760166,-0.744461715221405,0.026944689452648163,-0.7285969257354736,1000000.0,1.0,case_328,23.660991668701172,98922.8359375,40.43684387207031,98661.796875,unet,4418,23.47681427001953,101219.5234375,40.22129440307617,100961.796875
0.0,0.017150001600384712,-0.7472670078277588,0.028673963621258736,-0.87433260679245,100000.0,0.09999999999999999,case_329,9.108270645141602,98922.2265625,15.225469589233398,99020.640625,unet,4418,9.307480812072754,101219.015625,15.436897277832031,101320.640625
0.0,0.01512308418750763,-0.7741991281509399,0.025341490283608437,-0.8819493651390076,200000.0,0.19999999999999998,case_330,8.01766300201416,98917.125,13.412840843200684,99007.4140625,unet,4418,8.221647262573242,101214.390625,13.616559028625488,101307.4140625
0.0,0.010604613460600376,-0.8303124904632568,0.019221913069486618,-0.8865193128585815,500000.0,0.5,case_331,1.3452880382537842,98905.46875,2.268794298171997,98914.515625,unet,4418,1.363544225692749,101204.3671875,2.2753286361694336,101214.515625
0.0,0.014386423863470554,-0.904301106929779,0.0276658795773983,-0.8916777968406677,1000000.0,1.0,case_332,26.839372634887695,98891.28125,46.36859893798828,98580.5,unet,4418,26.56952667236328,101191.9453125,46.15837478637695,100880.5
2.0,0.021032635122537613,-0.9037315845489502,0.032314833253622055,-1.0407326221466064,100000.0,0.09999999999999999,case_333,9.879658699035645,98891.328125,17.06866455078125,99019.8125,unet,4418,10.156332015991211,101192.0078125,17.270978927612305,101319.8125
2.0,0.019634248688817024,-0.9196571707725525,0.030367571860551834,-1.0498006343841553,200000.0,0.19999999999999998,case_334,8.761083602905273,98888.5703125,15.188075065612793,99004.0703125,unet,4418,9.04216480255127,101189.4609375,15.396203994750977,101304.0703125
2.0,0.014061525464057922,-0.9722084999084473,0.023417333140969276,-1.0569819211959839,500000.0,0.5,case_335,1.4537999629974365,98879.78125,2.2700865268707275,98893.2734375,unet,4418,1.3651998043060303,101181.1875,2.2753193378448486,101193.2734375
2.0,0.013768394477665424,-1.07512366771698,0.02402978017926216,-1.0593684911727905,1000000.0,1.0,case_336,33.1290397644043,98863.0703125,55.04672622680664,98496.90625,unet,4418,32.780338287353516,101165.1796875,54.79673385620117,100796.90625
4.0,0.023839788511395454,-1.0737138986587524,0.03523958846926689,-1.2719402313232422,100000.0,0.09999999999999999,case_337,12.986717224121094,98863.2578125,21.539918899536133,99018.65625,unet,4418,13.338054656982422,101165.375,21.80463409423828,101318.65625
4.0,0.02160838432610035,-1.0952956676483154,0.03240947425365448,-1.2816779613494873,200000.0,0.19999999999999998,case_338,11.727287292480469,98859.78125,19.394779205322266,98999.4453125,unet,4418,12.081692695617676,101162.03125,19.65935516357422,101299.4453125
4.0,0.01509595662355423,-1.15943443775177,0.02379741333425045,-1.2913310527801514,500000.0,0.5,case_339,1.8384580612182617,98849.46875,2.6891353130340576,98864.0703125,unet,4418,1.9163705110549927,101152.125,2.8619930744171143,101164.0703125
4.0,0.01582067832350731,-1.2661511898040771,0.02323216199874878,-1.2945215702056885,1000000.0,1.0,case_340,41.2015380859375,98832.7109375,65.78597259521484,98379.6796875,unet,4418,40.91423034667969,101136.0625,65.61338806152344,100679.6796875
6.0,0.0241991076618433,-1.2640080451965332,0.03794284537434578,-1.5542194843292236,100000.0,0.09999999999999999,case_341,17.116117477416992,98833.0,27.097118377685547,99017.25,unet,4418,17.423059463500977,101136.3515625,27.283723831176758,101317.25
