AoA,Re,U_inf,ambient_pressure_Pa,case,fn,fp,min_pred_margin_Pa,min_truth_margin_Pa,model,naca,pred_risky_fraction,tn,tp,truth_risky_fraction
-4.0,100000.0,0.09999999999999999,2500.0,case_161,0,0,196.46240234375,193.923583984375,unet,0018,0.0,7970,0,0.0
-4.0,100000.0,0.09999999999999999,3000.0,case_161,0,0,696.46240234375,693.923583984375,unet,0018,0.0,7970,0,0.0
-4.0,100000.0,0.09999999999999999,5000.0,case_161,0,0,2696.46240234375,2693.923828125,unet,0018,0.0,7970,0,0.0
-4.0,100000.0,0.09999999999999999,10000.0,case_161,0,0,7696.462890625,7693.923828125,unet,0018,0.0,7970,0,0.0
-4.0,100000.0,0.09999999999999999,25000.0,case_161,0,0,22696.462890625,22693.923828125,unet,0018,0.0,7970,0,0.0
-4.0,100000.0,0.09999999999999999,101325.0,case_161,0,0,99021.4609375,99018.921875,unet,0018,0.0,7970,0,0.0
-4.0,200000.0,0.19999999999999998,2500.0,case_162,0,0,185.85693359375,175.363525390625,unet,0018,0.0,7970,0,0.0
-4.0,200000.0,0.19999999999999998,3000.0,case_162,0,0,685.85693359375,675.363525390625,unet,0018,0.0,7970,0,0.0
-4.0,200000.0,0.19999999999999998,5000.0,case_162,0,0,2685.85693359375,2675.36376953125,unet,0018,0.0,7970,0,0.0
-4.0,200000.0,0.19999999999999998,10000.0,case_162,0,0,7685.8564453125,7675.36328125,unet,0018,0.0,7970,0,0.0
-4.0,200000.0,0.19999999999999998,25000.0,case_162,0,0,22685.857421875,22675.36328125,unet,0018,0.0,7970,0,0.0
-4.0,200000.0,0.19999999999999998,101325.0,case_162,0,0,99010.859375,99000.3671875,unet,0018,0.0,7970,0,0.0
-4.0,500000.0,0.5,2500.0,case_163,0,0,112.010986328125,46.363525390625,unet,0018,0.0,7970,0,0.0
-4.0,500000.0,0.5,3000.0,case_163,0,0,612.010986328125,546.363525390625,unet,0018,0.0,7970,0,0.0
-4.0,500000.0,0.5,5000.0,case_163,0,0,2612.01123046875,2546.36376953125,unet,0018,0.0,7970,0,0.0
-4.0,500000.0,0.5,10000.0,case_163,0,0,7612.0107421875,7546.36328125,unet,0018,0.0,7970,0,0.0
-4.0,500000.0,0.5,25000.0,case_163,0,0,22612.01171875,22546.36328125,unet,0018,0.0,7970,0,0.0
-4.0,500000.0,0.5,101325.0,case_163,0,0,98937.0078125,98871.3671875,unet,0018,0.0,7970,0,0.0
-4.0,1000000.0,1.0,2500.0,case_164,163,0,-144.41064453125,-416.660400390625,unet,0018,0.004893350062735257,7768,39,0.02534504391468005
-4.0,1000000.0,1.0,3000.0,case_164,0,0,355.58935546875,83.339599609375,unet,0018,0.0,7970,0,0.0
-4.0,1000000.0,1.0,5000.0,case_164,0,0,2355.58935546875,2083.33935546875,unet,0018,0.0,7970,0,0.0
-4.0,1000000.0,1.0,10000.0,case_164,0,0,7355.5888671875,7083.33984375,unet,0018,0.0,7970,0,0.0
-4.0,1000000.0,1.0,25000.0,case_164,0,0,22355.58984375,22083.33984375,unet,0018,0.0,7970,0,0.0
-4.0,1000000.0,1.0,101325.0,case_164,0,0,98680.5859375,98408.3359375,unet,0018,0.0,7970,0,0.0
-2.0,100000.0,0.09999999999999999,2500.0,case_165,0,0,196.561767578125,195.628173828125,unet,0018,0.0,7970,0,0.0
-2.0,100000.0,0.09999999999999999,3000.0,case_165,0,0,696.561767578125,695.628173828125,unet,0018,0.0,7970,0,0.0
-2.0,100000.0,0.09999999999999999,5000.0,case_165,0,0,2696.5615234375,2695.62841796875,unet,0018,0.0,7970,0,0.0
-2.0,100000.0,0.09999999999999999,10000.0,case_165,0,0,7696.5615234375,7695.6279296875,unet,0018,0.0,7970,0,0.0
-2.0,100000.0,0.09999999999999999,25000.0,case_165,0,0,22696.5625,22695.62890625,unet,0018,0.0,7970,0,0.0
-2.0,100000.0,0.09999999999999999,101325.0,case_165,0,0,99021.5625,99020.625,unet,0018,0.0,7970,0,0.0
-2.0,200000.0,0.19999999999999998,2500.0,case_166,0,0,186.34375,182.422119140625,unet,0018,0.0,7970,0,0.0
-2.0,200000.0,0.19999999999999998,3000.0,case_166,0,0,686.34375,682.422119140625,unet,0018,0.0,7970,0,0.0
-2.0,200000.0,0.19999999999999998,5000.0,case_166,0,0,2686.34375,2682.42236328125,unet,0018,0.0,7970,0,0.0
-2.0,200000.0,0.19999999999999998,10000.0,case_166,0,0,7686.34375,7682.421875,unet,0018,0.0,7970,0,0.0
-2.0,200000.0,0.19999999999999998,25000.0,case_166,0,0,22686.34375,22682.421875,unet,0018,0.0,7970,0,0.0
-2.0,200000.0,0.19999999999999998,101325.0,case_166,0,0,99011.34375,99007.421875,unet,0018,0.0,7970,0,0.0
-2.0,500000.0,0.5,2500.0,case_167,0,0,117.01708984375,89.1865234375,unet,0018,0.0,7970,0,0.0
-2.0,500000.0,0.5,3000.0,case_167,0,0,617.01708984375,589.1865234375,unet,0018,0.0,7970,0,0.0
-2.0,500000.0,0.5,5000.0,case_167,0,0,2617.01708984375,2589.1865234375,unet,0018,0.0,7970,0,0.0
-2.0,500000.0,0.5,10000.0,case_167,0,0,7617.017578125,7589.1865234375,unet,0018,0.0,7970,0,0.0
-2.0,500000.0,0.5,25000.0,case_167,0,0,22617.017578125,22589.1875,unet,0018,0.0,7970,0,0.0
-2.0,500000.0,0.5,101325.0,case_167,0,0,98942.015625,98914.1875,unet,0018,0.0,7970,0,0.0
-2.0,1000000.0,1.0,2500.0,case_168,97,10,-113.83251953125,-244.521240234375,unet,0018,0.0038895859473023838,7842,21,0.014805520702634882
-2.0,1000000.0,1.0,3000.0,case_168,0,0,386.16748046875,255.478759765625,unet,0018,0.0,7970,0,0.0
-2.0,1000000.0,1.0,5000.0,case_168,0,0,2386.16748046875,2255.47900390625,unet,0018,0.0,7970,0,0.0
-2.0,1000000.0,1.0,10000.0,case_168,0,0,7386.1669921875,7255.478515625,unet,0018,0.0,7970,0,0.0
-2.0,1000000.0,1.0,25000.0,case_168,0,0,22386.16796875,22255.478515625,unet,0018,0.0,7970,0,0.0
-2.0,1000000.0,1.0,101325.0,case_168,0,0,98711.1640625,98580.4765625,unet,0018,0.0,7970,0,0.0
0.0,100000.0,0.09999999999999999,2500.0,case_169,0,0,196.85888671875,196.777587890625,unet,0018,0.0,7970,0,0.0
0.0,100000.0,0.09999999999999999,3000.0,case_169,0,0,696.85888671875,696.777587890625,unet,0018,0.0,7970,0,0.0
0.0,100000.0,0.09999999999999999,5000.0,case_169,0,0,2696.85888671875,2696.77734375,unet,0018,0.0,7970,0,0.0
0.0,100000.0,0.09999999999999999,10000.0,case_169,0,0,7696.859375,7696.77734375,unet,0018,0.0,7970,0,0.0
0.0,100000.0,0.09999999999999999,25000.0,case_169,0,0,22696.859375,22696.77734375,unet,0018,0.0,7970,0,0.0
0.0,100000.0,0.09999999999999999,101325.0,case_169,0,0,99021.859375,99021.78125,unet,0018,0.0,7970,0,0.0
0.0,200000.0,0.19999999999999998,2500.0,case_170,0,0,187.398681640625,187.0283203125,unet,0018,0.0,7970,0,0.0
0.0,200000.0,0.19999999999999998,3000.0,case_170,0,0,687.398681640625,687.0283203125,unet,0018,0.0,7970,0,0.0
0.0,200000.0,0.19999999999999998,5000.0,case_170,0,0,2687.39892578125,2687.0283203125,unet,0018,0.0,7970,0,0.0
0.0,200000.0,0.19999999999999998,10000.0,case_170,0,0,7687.3984375,7687.0283203125,unet,0018,0.0,7970,0,0.0
0.0,200000.0,0.19999999999999998,25000.0,case_170,0,0,22687.3984375,22687.029296875,unet,0018,0.0,7970,0,0.0
0.0,200000.0,0.19999999999999998,101325.0,case_170,0,0,99012.3984375,99012.03125,unet,0018,0.0,7970,0,0.0
0.0,500000.0,0.5,2500.0,case_171,0,0,126.893798828125,118.266845703125,unet,0018,0.0,7970,0,0.0
0.0,500000.0,0.5,3000.0,case_171,0,0,626.893798828125,618.266845703125,unet,0018,0.0,7970,0,0.0
0.0,500000.0,0.5,5000.0,case_171,0,0,2626.89404296875,2618.2666015625,unet,0018,0.0,7970,0,0.0
0.0,500000.0,0.5,10000.0,case_171,0,0,7626.8935546875,7618.2666015625,unet,0018,0.0,7970,0,0.0
0.0,500000.0,0.5,25000.0,case_171,0,0,22626.89453125,22618.267578125,unet,0018,0.0,7970,0,0.0
0.0,500000.0,0.5,101325.0,case_171,0,0,98951.890625,98943.265625,unet,0018,0.0,7970,0,0.0
0.0,1000000.0,1.0,2500.0,case_172,50,44,-98.174072265625,-127.8173828125,unet,0018,0.007904642409033878,7857,19,0.008657465495608531
0.0,1000000.0,1.0,3000.0,case_172,0,0,401.825927734375,372.1826171875,unet,0018,0.0,7970,0,0.0
0.0,1000000.0,1.0,5000.0,case_172,0,0,2401.826171875,2372.1826171875,unet,0018,0.0,7970,0,0.0
0.0,1000000.0,1.0,10000.0,case_172,0,0,7401.826171875,7372.1826171875,unet,0018,0.0,7970,0,0.0
0.0,1000000.0,1.0,25000.0,case_172,0,0,22401.826171875,22372.18359375,unet,0018,0.0,7970,0,0.0
0.0,1000000.0,1.0,101325.0,case_172,0,0,98726.828125,98697.1796875,unet,0018,0.0,7970,0,0.0
2.0,100000.0,0.09999999999999999,2500.0,case_173,0,0,197.00732421875,196.198974609375,unet,0018,0.0,7970,0,0.0
2.0,100000.0,0.09999999999999999,3000.0,case_173,0,0,697.00732421875,696.198974609375,unet,0018,0.0,7970,0,0.0
2.0,100000.0,0.09999999999999999,5000.0,case_173,0,0,2697.00732421875,2696.19921875,unet,0018,0.0,7970,0,0.0
2.0,100000.0,0.09999999999999999,10000.0,case_173,0,0,7697.0078125,7696.19921875,unet,0018,0.0,7970,0,0.0
2.0,100000.0,0.09999999999999999,25000.0,case_173,0,0,22697.0078125,22696.19921875,unet,0018,0.0,7970,0,0.0
2.0,100000.0,0.09999999999999999,101325.0,case_173,0,0,99022.0078125,99021.1953125,unet,0018,0.0,7970,0,0.0
2.0,200000.0,0.19999999999999998,2500.0,case_174,0,0,187.501708984375,184.7294921875,unet,0018,0.0,7970,0,0.0
2.0,200000.0,0.19999999999999998,3000.0,case_174,0,0,687.501708984375,684.7294921875,unet,0018,0.0,7970,0,0.0
2.0,200000.0,0.19999999999999998,5000.0,case_174,0,0,2687.50146484375,2684.7294921875,unet,0018,0.0,7970,0,0.0
2.0,200000.0,0.19999999999999998,10000.0,case_174,0,0,7687.501953125,7684.7294921875,unet,0018,0.0,7970,0,0.0
2.0,200000.0,0.19999999999999998,25000.0,case_174,0,0,22687.501953125,22684.728515625,unet,0018,0.0,7970,0,0.0
2.0,200000.0,0.19999999999999998,101325.0,case_174,0,0,99012.5,99009.7265625,unet,0018,0.0,7970,0,0.0
2.0,500000.0,0.5,2500.0,case_175,0,0,111.296875,104.596435546875,unet,0018,0.0,7970,0,0.0
2.0,500000.0,0.5,3000.0,case_175,0,0,611.296875,604.596435546875,unet,0018,0.0,7970,0,0.0
2.0,500000.0,0.5,5000.0,case_175,0,0,2611.296875,2604.5966796875,unet,0018,0.0,7970,0,0.0
2.0,500000.0,0.5,10000.0,case_175,0,0,7611.296875,7604.5966796875,unet,0018,0.0,7970,0,0.0
2.0,500000.0,0.5,25000.0,case_175,0,0,22611.296875,22604.595703125,unet,0018,0.0,7970,0,0.0
2.0,500000.0,0.5,101325.0,case_175,0,0,98936.296875,98929.59375,unet,0018,0.0,7970,0,0.0
2.0,1000000.0,1.0,2500.0,case_176,6,67,-237.0908203125,-181.80224609375,unet,0018,0.017189460476787956,7827,70,0.009535759096612296
2.0,1000000.0,1.0,3000.0,case_176,0,0,262.9091796875,318.19775390625,unet,0018,0.0,7970,0,0.0
2.0,1000000.0,1.0,5000.0,case_176,0,0,2262.9091796875,2318.19775390625,unet,0018,0.0,7970,0,0.0
2.0,1000000.0,1.0,10000.0,case_176,0,0,7262.9091796875,7318.1982421875,unet,0018,0.0,7970,0,0.0
2.0,1000000.0,1.0,25000.0,case_176,0,0,22262.91015625,22318.197265625,unet,0018,0.0,7970,0,0.0
2.0,1000000.0,1.0,101325.0,case_176,0,0,98587.90625,98643.1953125,unet,0018,0.0,7970,0,0.0
4.0,100000.0,0.09999999999999999,2500.0,case_177,0,0,195.6328125,194.564697265625,unet,0018,0.0,7970,0,0.0
4.0,100000.0,0.09999999999999999,3000.0,case_177,0,0,695.6328125,694.564697265625,unet,0018,0.0,7970,0,0.0
4.0,100000.0,0.09999999999999999,5000.0,case_177,0,0,2695.6328125,2694.56494140625,unet,0018,0.0,7970,0,0.0
4.0,100000.0,0.09999999999999999,10000.0,case_177,0,0,7695.6328125,7694.564453125,unet,0018,0.0,7970,0,0.0
4.0,100000.0,0.09999999999999999,25000.0,case_177,0,0,22695.6328125,22694.564453125,unet,0018,0.0,7970,0,0.0
4.0,100000.0,0.09999999999999999,101325.0,case_177,0,0,99020.6328125,99019.5625,unet,0018,0.0,7970,0,0.0
4.0,200000.0,0.19999999999999998,2500.0,case_178,0,0,181.95361328125,178.11181640625,unet,0018,0.0,7970,0,0.0
4.0,200000.0,0.19999999999999998,3000.0,case_178,0,0,681.95361328125,678.11181640625,unet,0018,0.0,7970,0,0.0
4.0,200000.0,0.19999999999999998,5000.0,case_178,0,0,2681.95361328125,2678.11181640625,unet,0018,0.0,7970,0,0.0
4.0,200000.0,0.19999999999999998,10000.0,case_178,0,0,7681.9541015625,7678.1123046875,unet,0018,0.0,7970,0,0.0
4.0,200000.0,0.19999999999999998,25000.0,case_178,0,0,22681.953125,22678.111328125,unet,0018,0.0,7970,0,0.0
4.0,200000.0,0.19999999999999998,101325.0,case_178,0,0,99006.953125,99003.109375,unet,0018,0.0,7970,0,0.0
4.0,500000.0,0.5,2500.0,case_179,0,0,76.89013671875,62.71044921875,unet,0018,0.0,7970,0,0.0
4.0,500000.0,0.5,3000.0,case_179,0,0,576.89013671875,562.71044921875,unet,0018,0.0,7970,0,0.0
4.0,500000.0,0.5,5000.0,case_179,0,0,2576.89013671875,2562.71044921875,unet,0018,0.0,7970,0,0.0
4.0,500000.0,0.5,10000.0,case_179,0,0,7576.890625,7562.7109375,unet,0018,0.0,7970,0,0.0
4.0,500000.0,0.5,25000.0,case_179,0,0,22576.890625,22562.7109375,unet,0018,0.0,7970,0,0.0
4.0,500000.0,0.5,101325.0,case_179,0,0,98901.890625,98887.7109375,unet,0018,0.0,7970,0,0.0
4.0,1000000.0,1.0,2500.0,case_180,0,76,-357.1634521484375,-349.804931640625,unet,0018,0.027101631116687577,7754,140,0.01756587202007528
4.0,1000000.0,1.0,3000.0,case_180,0,0,142.83642578125,150.195068359375,unet,0018,0.0,7970,0,0.0
4.0,1000000.0,1.0,5000.0,case_180,0,0,2142.83642578125,2150.19482421875,unet,0018,0.0,7970,0,0.0
4.0,1000000.0,1.0,10000.0,case_180,0,0,7142.8369140625,7150.1953125,unet,0018,0.0,7970,0,0.0
4.0,1000000.0,1.0,25000.0,case_180,0,0,22142.8359375,22150.1953125,unet,0018,0.0,7970,0,0.0
4.0,1000000.0,1.0,101325.0,case_180,0,0,98467.8359375,98475.1953125,unet,0018,0.0,7970,0,0.0
6.0,100000.0,0.09999999999999999,2500.0,case_181,0,0,194.441162109375,192.713623046875,unet,0018,0.0,7970,0,0.0
6.0,100000.0,0.09999999999999999,3000.0,case_181,0,0,694.441162109375,692.713623046875,unet,0018,0.0,7970,0,0.0
6.0,100000.0,0.09999999999999999,5000.0,case_181,0,0,2694.44091796875,2692.7138671875,unet,0018,0.0,7970,0,0.0
6.0,100000.0,0.09999999999999999,10000.0,case_181,0,0,7694.44140625,7692.7138671875,unet,0018,0.0,7970,0,0.0
6.0,100000.0,0.09999999999999999,25000.0,case_181,0,0,22694.44140625,22692.712890625,unet,0018,0.0,7970,0,0.0
6.0,100000.0,0.09999999999999999,101325.0,case_181,0,0,99019.4375,99017.7109375,unet,0018,0.0,7970,0,0.0
6.0,200000.0,0.19999999999999998,2500.0,case_182,0,0,177.263671875,170.652587890625,unet,0018,0.0,7970,0,0.0
6.0,200000.0,0.19999999999999998,3000.0,case_182,0,0,677.263671875,670.652587890625,unet,0018,0.0,7970,0,0.0
6.0,200000.0,0.19999999999999998,5000.0,case_182,0,0,2677.263671875,2670.65283203125,unet,0018,0.0,7970,0,0.0
6.0,200000.0,0.19999999999999998,10000.0,case_182,0,0,7677.263671875,7670.65234375,unet,0018,0.0,7970,0,0.0
6.0,200000.0,0.19999999999999998,25000.0,case_182,0,0,22677.263671875,22670.65234375,unet,0018,0.0,7970,0,0.0
6.0,200000.0,0.19999999999999998,101325.0,case_182,0,0,99002.265625,98995.65625,unet,0018,0.0,7970,0,0.0
6.0,500000.0,0.5,2500.0,case_183,0,0,48.539306640625,15.696533203125,unet,0018,0.0,7970,0,0.0
6.0,500000.0,0.5,3000.0,case_183,0,0,548.539306640625,515.696533203125,unet,0018,0.0,7970,0,0.0
6.0,500000.0,0.5,5000.0,case_183,0,0,2548.5390625,2515.6962890625,unet,0018,0.0,7970,0,0.0
6.0,500000.0,0.5,10000.0,case_183,0,0,7548.5390625,7515.6962890625,unet,0018,0.0,7970,0,0.0
6.0,500000.0,0.5,25000.0,case_183,0,0,22548.5390625,22515.697265625,unet,0018,0.0,7970,0,0.0
6.0,500000.0,0.5,101325.0,case_183,0,0,98873.5390625,98840.6953125,unet,0018,0.0,7970,0,0.0
6.0,1000000.0,1.0,2500.0,case_184,0,85,-469.759521484375,-538.44677734375,unet,0018,0.03939774153074028,7656,229,0.028732747804265997
6.0,1000000.0,1.0,3000.0,case_184,1,0,30.240478515625,-38.44677734375,unet,0018,0.0,7969,0,0.00012547051442910915
6.0,1000000.0,1.0,5000.0,case_184,0,0,2030.240234375,1961.55322265625,unet,0018,0.0,7970,0,0.0
6.0,1000000.0,1.0,10000.0,case_184,0,0,7030.240234375,6961.552734375,unet,0018,0.0,7970,0,0.0
6.0,1000000.0,1.0,25000.0,case_184,0,0,22030.240234375,21961.552734375,unet,0018,0.0,7970,0,0.0
6.0,1000000.0,1.0,101325.0,case_184,0,0,98355.2421875,98286.5546875,unet,0018,0.0,7970,0,0.0
8.0,100000.0,0.09999999999999999,2500.0,case_185,0,0,193.3173828125,190.0263671875,unet,0018,0.0,7970,0,0.0
8.0,100000.0,0.09999999999999999,3000.0,case_185,0,0,693.3173828125,690.0263671875,unet,0018,0.0,7970,0,0.0
8.0,100000.0,0.09999999999999999,5000.0,case_185,0,0,2693.3173828125,2690.0263671875,unet,0018,0.0,7970,0,0.0
8.0,100000.0,0.09999999999999999,10000.0,case_185,0,0,7693.3173828125,7690.0263671875,unet,0018,0.0,7970,0,0.0
8.0,100000.0,0.09999999999999999,25000.0,case_185,0,0,22693.31640625,22690.02734375,unet,0018,0.0,7970,0,0.0
8.0,100000.0,0.09999999999999999,101325.0,case_185,0,0,99018.3203125,99015.0234375,unet,0018,0.0,7970,0,0.0
8.0,200000.0,0.19999999999999998,2500.0,case_186,0,0,172.7431640625,161.822265625,unet,0018,0.0,7970,0,0.0
8.0,200000.0,0.19999999999999998,3000.0,case_186,0,0,672.7431640625,661.822265625,unet,0018,0.0,7970,0,0.0
8.0,200000.0,0.19999999999999998,5000.0,case_186,0,0,2672.7431640625,2661.822265625,unet,0018,0.0,7970,0,0.0
8.0,200000.0,0.19999999999999998,10000.0,case_186,0,0,7672.7431640625,7661.822265625,unet,0018,0.0,7970,0,0.0
8.0,200000.0,0.19999999999999998,25000.0,case_186,0,0,22672.7421875,22661.822265625,unet,0018,0.0,7970,0,0.0
8.0,200000.0,0.19999999999999998,101325.0,case_186,0,0,98997.7421875,98986.8203125,unet,0018,0.0,7970,0,0.0
8.0,500000.0,0.5,2500.0,case_187,3,0,19.50634765625,-40.1259765625,unet,0018,0.0,7967,0,0.0003764115432873275
8.0,500000.0,0.5,3000.0,case_187,0,0,519.50634765625,459.8740234375,unet,0018,0.0,7970,0,0.0
8.0,500000.0,0.5,5000.0,case_187,0,0,2519.50634765625,2459.8740234375,unet,0018,0.0,7970,0,0.0
8.0,500000.0,0.5,10000.0,case_187,0,0,7519.505859375,7459.8740234375,unet,0018,0.0,7970,0,0.0
8.0,500000.0,0.5,25000.0,case_187,0,0,22519.505859375,22459.873046875,unet,0018,0.0,7970,0,0.0
8.0,500000.0,0.5,101325.0,case_187,0,0,98844.5078125,98784.875,unet,0018,0.0,7970,0,0.0
8.0,1000000.0,1.0,2500.0,case_188,0,119,-594.5909423828125,-763.091796875,unet,0018,0.055332496863237136,7529,322,0.04040150564617315
8.0,1000000.0,1.0,3000.0,case_188,2,2,-94.5908203125,-263.091796875,unet,0018,0.0008782936010037642,7961,5,0.0008782936010037642
8.0,1000000.0,1.0,5000.0,case_188,0,0,1905.4091796875,1736.908203125,unet,0018,0.0,7970,0,0.0
8.0,1000000.0,1.0,10000.0,case_188,0,0,6905.4091796875,6736.908203125,unet,0018,0.0,7970,0,0.0
8.0,1000000.0,1.0,25000.0,case_188,0,0,21905.408203125,21736.908203125,unet,0018,0.0,7970,0,0.0
8.0,1000000.0,1.0,101325.0,case_188,0,0,98230.40625,98061.90625,unet,0018,0.0,7970,0,0.0
10.0,100000.0,0.09999999999999999,2500.0,case_189,0,0,192.074462890625,186.980712890625,unet,0018,0.0,7970,0,0.0
10.0,100000.0,0.09999999999999999,3000.0,case_189,0,0,692.074462890625,686.980712890625,unet,0018,0.0,7970,0,0.0
10.0,100000.0,0.09999999999999999,5000.0,case_189,0,0,2692.07470703125,2686.98095703125,unet,0018,0.0,7970,0,0.0
10.0,100000.0,0.09999999999999999,10000.0,case_189,0,0,7692.07421875,7686.98046875,unet,0018,0.0,7970,0,0.0
10.0,100000.0,0.09999999999999999,25000.0,case_189,0,0,22692.07421875,22686.98046875,unet,0018,0.0,7970,0,0.0
10.0,100000.0,0.09999999999999999,101325.0,case_189,0,0,99017.078125,99011.984375,unet,0018,0.0,7970,0,0.0
10.0,200000.0,0.19999999999999998,2500.0,case_190,0,0,167.592529296875,147.224365234375,unet,0018,0.0,7970,0,0.0
10.0,200000.0,0.19999999999999998,3000.0,case_190,0,0,667.592529296875,647.224365234375,unet,0018,0.0,7970,0,0.0
10.0,200000.0,0.19999999999999998,5000.0,case_190,0,0,2667.5927734375,2647.224609375,unet,0018,0.0,7970,0,0.0
10.0,200000.0,0.19999999999999998,10000.0,case_190,0,0,7667.5927734375,7647.224609375,unet,0018,0.0,7970,0,0.0
10.0,200000.0,0.19999999999999998,25000.0,case_190,0,0,22667.591796875,22647.224609375,unet,0018,0.0,7970,0,0.0
10.0,200000.0,0.19999999999999998,101325.0,case_190,0,0,98992.59375,98972.2265625,unet,0018,0.0,7970,0,0.0
10.0,500000.0,0.5,2500.0,case_191,3,0,-15.658203125,-119.437744140625,unet,0018,0.0005018820577164366,7963,4,0.0008782936010037642
10.0,500000.0,0.5,3000.0,case_191,0,0,484.341796875,380.562255859375,unet,0018,0.0,7970,0,0.0
10.0,500000.0,0.5,5000.0,case_191,0,0,2484.341796875,2380.56201171875,unet,0018,0.0,7970,0,0.0
10.0,500000.0,0.5,10000.0,case_191,0,0,7484.341796875,7380.5625,unet,0018,0.0,7970,0,0.0
