AoA,Cd_grid_pressure,Cd_model_integrated_pressure,Cd_model_pressure,Cd_openfoam_total,Cl_grid_pressure,Cl_model_integrated_pressure,Cl_model_pressure,Cl_openfoam_total,L_over_D_model_pressure,L_over_D_openfoam_total,Re,U_inf,case,model,naca
-4.0,0.011003579829418637,0.23325263097586732,0.02846241556107998,0.03793027,-0.14837193726470765,-1.9624050482942745,-0.3152410387992859,-0.5082811,-11.075695178534044,-13.400408170044663,100000.0,0.09999999999999999,case_161,unet,0018
-4.0,0.010607259476576866,0.06014551968813367,0.02829911932349205,0.03277269,-0.15172910685751106,-0.4816308064840941,-0.3092275559902191,-0.5197019,-10.927108807005133,-15.857773652391673,200000.0,0.19999999999999998,case_162,unet,0018
-4.0,0.011480677512938573,0.010654556373341393,0.0277116596698761,0.03097693,-0.14836629445924762,-0.07195026723668442,-0.28915587067604065,-0.5096941,-10.434447958754593,-16.45399011457882,500000.0,0.5,case_163,unet,0018
-4.0,0.011398486771332126,0.0032666204762035046,0.02635987475514412,0.0299423,-0.14937422604597808,-0.015017252647909827,-0.2468261420726776,-0.5130127,-9.36370693584231,-17.133376527521264,1000000.0,1.0,case_164,unet,0018
-2.0,0.011443416302752907,0.2761859975362385,0.02634347975254059,0.03379945,-0.08757321462877271,-1.4997132246470504,-0.24631530046463013,-0.2996185,-9.350142911202735,-8.864596909121301,100000.0,0.09999999999999999,case_165,unet,0018
-2.0,0.01108330772768074,0.07337014308349148,0.026011234149336815,0.02803965,-0.08780633569024239,-0.3562729152040262,-0.23621487617492676,-0.2996733,-9.08126368855702,-10.687483616949569,200000.0,0.19999999999999998,case_166,unet,0018
-2.0,0.010825346235246242,0.013919048911269815,0.024897297844290733,0.02486737,-0.09017743057912293,-0.0466884139343584,-0.20165783166885376,-0.3073287,-8.099587068847171,-12.358713446576779,500000.0,0.5,case_167,unet,0018
-2.0,0.010740158169826609,0.004318044648446866,0.022715354338288307,0.02379338,-0.09096552248619358,-0.006004008809104986,-0.12294161319732666,-0.3098783,-5.412269223997973,-13.02371920256811,1000000.0,1.0,case_168,unet,0018
0.0,0.011338937208183157,0.4129914760039772,0.022679045796394348,0.03130639,-0.027259108679219872,-0.5945853214365504,-0.12165531516075134,-0.08984878,-5.364216654128051,-2.869982134637689,100000.0,0.09999999999999999,case_169,unet,0018
0.0,0.010969479388716983,0.10855257770168618,0.022202838212251663,0.02556863,-0.027663341687568167,-0.1115451390044816,-0.10033100843429565,-0.08992623,-4.518837072772633,-3.517053123299919,200000.0,0.19999999999999998,case_170,unet,0018
