field,mae,model,n,r2,relative_rmse,rmse
Ux,0.2980920927977559,unet,510240,0.003999513538009425,0.7828529380523633,0.34986507441955467
Uy,0.03742455338948842,unet,510240,0.173837029076628,2.622634906673807,0.05775383809706728
p,17.167196319379116,unet,510240,0.2290950055418478,0.00038509417201770086,39.01839392815181
nut,8.405757392260728e-06,unet,510240,0.10002711066312897,4.175877113552378,2.821996776173819e-05
k,0.00015508529526094643,unet,510240,0.021806869505056725,39.486058093539015,0.0037459151972439645
omega,0.6156397222225575,unet,510240,0.11386606569789437,8.67729818142184,4.885835884323379
Cp,0.06522333374635444,unet,510240,0.6023911714120371,5.315229879409227,0.10816373514099195
cavitation_margin,17.224729983071693,unet,510240,0.23282024138540902,0.000393085636272701,38.92400566202996
Cl,0.41861144745819956,unet,510240,0.12373750601323052,1.093247225772926,0.4880221081525382
Cd,0.0109336978764032,unet,510240,-0.0040505614184400685,0.3662892924553668,0.014313652169400937
Ux,0.022164046902918597,pinn,510240,0.9925255978106369,0.06781701061315139,0.030308123418570993
Uy,0.008448824361794987,pinn,510240,0.9140041158849257,0.846143080539375,0.01863317320915337
p,4.7603896266952805,pinn,510240,0.9257569139459817,0.0001195073246989604,12.108684605565127
nut,9.249777328594883e-06,pinn,510240,-0.01709958564406522,4.43930245548402,3.000015775650839e-05
k,0.000277331406686961,pinn,510240,0.0004997242123455647,39.913786963213035,0.0037864924579423184
omega,0.7493612068756952,pinn,510240,0.05147619397914771,8.977573204858508,5.054908613414789
Cp,0.02306188559024202,pinn,510240,0.9285223751242198,2.2536117541060636,0.04586049341460424
cavitation_margin,4.808958269025361,pinn,510240,0.924694191266658,0.00012315522588319635,12.195039114226281
Cl,0.03822408232790605,pinn,510240,0.9907705215598885,0.11219922371209444,0.05008537904163653
Cd,0.003185019956370299,pinn,510240,0.9235325434197899,0.10108454352696326,0.003950126377019137
Ux,0.26182716488911206,fno,510240,0.18903348264382147,0.7064019223284979,0.31569832482259313
Uy,0.021695291848621276,fno,510240,0.7262792289294624,1.5095894490450192,0.0332431267544441
p,13.934914452022577,fno,510240,0.5774713483441647,0.0002850982807226567,28.886640810975738
nut,8.288782749976467e-06,fno,510240,0.07563373711691035,4.232091410305373,2.8599855770647727e-05
k,0.00019824197943908863,fno,510240,0.014879643366775608,39.62562475635001,0.0037591554371791294
omega,0.6966711956159264,fno,510240,0.08758174363286975,8.805049882723578,4.9577677038198855
Cp,0.041531092346772276,fno,510240,0.8444516179346195,3.324503478761642,0.06765289966951497
cavitation_margin,13.737703182570947,fno,510240,0.5849711249399934,0.0002891197523802813,28.62912770195342
Cl,0.22407119084612778,fno,510240,0.7146097388111671,0.6239084200613212,0.27851074786599817
Cd,0.00884555832472434,fno,510240,0.4022626069288626,0.2826191879872063,0.011044037695260606
Ux,0.014956407596387247,deeponet,510240,0.9963723101443951,0.047246047890245356,0.021114747429158778
Uy,0.006717166904908438,deeponet,510240,0.9528328297731549,0.6266497709368148,0.013799644518630078
p,3.785654835837057,deeponet,510240,0.943565621341878,0.00010419296343974638,10.557007577478155
nut,9.26320321343036e-06,deeponet,510240,-0.07591977668973837,4.565863687455542,3.085544008139556e-05
k,0.00019321610328256904,deeponet,510240,-0.0015675169479054674,39.955041980975565,0.003790406188647803
omega,0.6176771647827779,deeponet,510240,0.04925051261340008,8.988099830374734,5.060835730774675
Cp,0.018542069259126895,deeponet,510240,0.9466234894900842,1.94746262606837,0.039630427368543546
cavitation_margin,3.819849283547938,deeponet,510240,0.9424488815637417,0.00010766275545184645,10.660948445061388
Cl,0.029631647477776288,deeponet,510240,0.9949110556695391,0.08331345064878797,0.0371908611927537
Cd,0.003101991201236502,deeponet,510240,0.9337025097372155,0.09412282980744913,0.0036780803447256484
